id,timestamp
0,63083183340000
1,63084674640000
2,63085775220000
3,63085955460000
4,63085966740000
5,63086302380000
6,63086803620000
7,63087755940000
8,63087769980000
9,63088637520000
10,63088652100000
11,63088807440000
12,63088898940000
13,63089328360000
14,63089571600000
15,63090706680000
16,63091058940000
17,63094679040000
18,63095029800000
19,63095977560000
20,63096490560000
21,63096575520000
22,63097711020000
23,63097807200000
24,63098930820000
25,63099017940000
26,63099167040000
27,63099513960000
28,63099686340000
29,63099795540000
30,63100291440000
31,63100292160000
32,63101076180000
33,63101176680000
34,63101315160000
35,63101335380000
36,63101513520000
37,63102026220000
38,63102106620000
39,63102112500000
40,63103153200000
41,63103413240000
42,63103496880000
43,63103904520000
44,63103923960000
45,63104368020000
46,63104374620000
47,63104440980000
48,63105145560000
49,63106435560000
50,63106783200000
51,63106784160000
52,63108077340000
53,63108082200000
54,63108089340000
55,63108325800000
56,63108687600000
57,63108761640000
58,63108943020000
59,63110132820000
60,63111175320000
61,63111863340000
62,63112403040000
63,63112471680000
64,63112475700000
65,63113160060000
66,63113180760000
67,63113692740000
68,63113768040000
69,63114111360000
70,63114988680000
71,63115312680000
72,63115313100000
73,63115838640000
74,63115855560000
75,63116093820000
76,63116185260000
77,63116536620000
78,63116608440000
79,63116809140000
80,63117045900000
81,63117076980000
82,63117151920000
83,63117213300000
84,63117659340000
85,63117662220000
86,63117663480000
87,63117822240000
88,63118452660000
89,63118454220000
90,63118514700000
91,63118610220000
92,63118621680000
93,63119459100000
94,63119558700000
95,63119653200000
96,63120080880000
97,63120182460000
98,63120354120000
99,63121284180000
100,63121301520000
101,63121533180000
102,63121906260000
103,63122233200000
104,63122518140000
105,63122608260000
106,63122754840000
107,63123264660000
108,63123300660000
109,63123705600000
110,63123741600000
111,63123787620000
112,63123805560000
113,63123823620000
114,63123841560000
115,63123889920000
116,63123925920000
117,63124310220000
118,63124312920000
119,63124346220000
120,63124348920000
121,63124464420000
122,63124472160000
123,63124507620000
124,63124515360000
125,63124649460000
126,63124661880000
127,63124692660000
128,63124697880000
129,63124901640000
130,63124910880000
131,63124924980000
132,63124944840000
133,63124946880000
134,63124960980000
135,63125093580000
136,63125136780000
137,63090029280000
138,63090040920000
139,63091155480000
140,63091156560000
141,63091409640000
142,63091576200000
143,63094695840000
144,63095538060000
145,63095552520000
146,63096050580000
147,63098055480000
148,63098463780000
149,63098495100000
150,63098930520000
151,63099616260000
152,63099686460000
153,63100886580000
154,63100970640000
155,63101001060000
156,63101004480000
157,63101440440000
158,63102093660000
159,63102110880000
160,63102201420000
161,63102210360000
162,63102530880000
163,63102531420000
164,63102539040000
165,63102545340000
166,63103064940000
167,63103216920000
168,63103227240000
169,63103303440000
170,63103336740000
171,63104631840000
172,63104638920000
