Person.id|Comment.id|creationDate
4398046511225|274877907632|2010-09-14T14:35:40.377+0000
4398046511316|274877907632|2010-09-12T09:10:29.290+0000
4398046511333|274877907632|2010-09-11T17:05:02.794+0000
6597069766708|274877907632|2010-09-11T19:00:30.623+0000
8796093022390|274877907632|2010-09-18T03:13:41.320+0000
143|68719478400|2010-03-30T18:31:56.897+0000
228|68719478400|2010-03-30T21:33:36.390+0000
2199023255580|68719478400|2010-04-29T07:13:04.697+0000
2199023255746|68719478400|2010-03-30T04:22:00.810+0000
2199023255753|68719478400|2010-04-13T04:16:20.105+0000
2199023255767|68719478400|2010-04-04T08:34:51.809+0000
4398046511105|68719478400|2010-07-08T07:01:58.931+0000
4398046511113|68719478400|2010-07-16T02:55:28.946+0000
4398046511146|68719478400|2010-07-04T11:30:49.593+0000
4398046511268|68719478400|2010-05-23T10:36:58.351+0000
4398046511316|68719478400|2010-06-24T18:12:25.139+0000
4398046511321|68719478400|2010-06-11T03:20:17.471+0000
6597069766672|68719478400|2010-07-18T22:59:55.608+0000
6597069766708|68719478400|2010-08-03T05:36:57.496+0000
8796093022348|68719478400|2010-09-21T10:33:36.990+0000
10995116277992|68719478400|2010-11-15T02:54:33.654+0000
8796093022348|68719478413|2010-09-18T12:26:11.752+0000
2199023255712|274877909140|2010-10-19T04:31:47.121+0000
2199023255713|274877909140|2010-10-19T11:34:42.170+0000
2199023255730|274877909140|2010-10-20T17:10:50.808+0000
4398046511106|274877909140|2010-10-20T05:46:44.274+0000
4398046511113|274877909140|2010-10-18T18:02:05.145+0000
4398046511220|274877909140|2010-10-24T02:37:47.955+0000
41|274877909180|2010-09-20T22:42:01.268+0000
73|274877909180|2010-09-16T19:51:14.303+0000
94|274877909180|2010-09-20T10:08:23.304+0000
136|274877909180|2010-09-18T00:38:53.834+0000
143|274877909180|2010-09-17T21:16:07.510+0000
150|274877909180|2010-09-16T04:38:22.220+0000
2199023255616|274877909180|2010-09-18T05:55:42.303+0000
2199023255633|274877909180|2010-09-17T09:05:15.162+0000
2199023255712|274877909180|2010-09-16T11:35:52.500+0000
2199023255713|274877909180|2010-09-16T21:02:25.615+0000
2199023255730|274877909180|2010-09-16T13:44:28.643+0000
4398046511106|274877909180|2010-09-18T16:47:49.379+0000
4398046511113|274877909180|2010-09-18T01:57:48.277+0000
4398046511220|274877909180|2010-09-17T22:35:33.741+0000
4398046511239|274877909180|2010-09-16T23:14:38.320+0000
4398046511297|274877909180|2010-09-19T21:21:52.744+0000
4398046511327|274877909180|2010-09-17T07:55:41.047+0000
4398046511333|274877909180|2010-09-17T18:54:23.379+0000
4398046511351|274877909180|2010-09-16T22:57:10.632+0000
6597069766656|274877909180|2010-09-16T06:35:14.920+0000
6597069766753|274877909180|2010-09-17T14:54:20.971+0000
6597069766759|274877909180|2010-09-20T07:17:04.098+0000
6597069766775|274877909180|2010-09-19T14:39:42.901+0000
6597069766887|274877909180|2010-09-17T10:38:15.850+0000
6597069766896|274877909180|2010-09-24T14:44:55.663+0000
8796093022248|274877909180|2010-09-16T06:45:30.437+0000
8796093022276|274877909180|2010-09-19T21:04:36.348+0000
8796093022326|274877909180|2010-10-06T18:05:21.905+0000
10995116278009|274877909180|2010-11-06T07:33:17.927+0000
143|274877909184|2010-09-16T19:31:36.644+0000
73|206158432794|2010-08-06T19:35:09.745+0000
76|206158432794|2010-08-08T02:37:19.062+0000
94|206158432794|2010-08-10T20:33:07.706+0000
143|206158432794|2010-08-08T04:41:34.354+0000
150|206158432794|2010-08-04T20:44:50.609+0000
153|206158432794|2010-08-07T17:59:28.873+0000
208|206158432794|2010-08-07T23:49:49.937+0000
238|206158432794|2010-08-05T09:25:42.050+0000
2199023255615|206158432794|2010-08-09T14:08:35.943+0000
2199023255633|206158432794|2010-08-04T11:07:23.934+0000
2199023255669|206158432794|2010-08-08T02:01:04.172+0000
2199023255674|206158432794|2010-08-04T10:01:20.899+0000
2199023255711|206158432794|2010-08-04T16:51:38.149+0000
2199023255742|206158432794|2010-08-05T01:04:47.728+0000
2199023255787|206158432794|2010-08-04T21:47:18.196+0000
4398046511105|206158432794|2010-08-04T12:11:25.643+0000
4398046511113|206158432794|2010-08-05T22:15:47.365+0000
4398046511123|206158432794|2010-08-04T10:42:59.014+0000
4398046511136|206158432794|2010-08-05T01:18:23.038+0000
4398046511205|206158432794|2010-08-04T22:50:39.605+0000
4398046511224|206158432794|2010-08-04T10:43:45.906+0000
4398046511225|206158432794|2010-08-05T11:22:07.530+0000
4398046511231|206158432794|2010-08-04T22:32:14.075+0000
4398046511297|206158432794|2010-08-05T23:09:49.660+0000
4398046511315|206158432794|2010-08-09T12:09:26.138+0000
6597069766660|206158432794|2010-08-19T02:21:46.439+0000
6597069766672|206158432794|2010-08-05T19:56:44.210+0000
6597069766674|206158432794|2010-08-05T07:19:51.013+0000
6597069766707|206158432794|2010-08-13T07:18:18.612+0000
6597069766722|206158432794|2010-08-05T06:55:25.083+0000
6597069766769|206158432794|2010-08-08T20:35:23.100+0000
6597069766775|206158432794|2010-08-09T07:38:40.561+0000
6597069766786|206158432794|2010-08-04T10:01:09.158+0000
6597069766795|206158432794|2010-09-06T05:52:51.649+0000
6597069766812|206158432794|2010-08-04T13:17:27.927+0000
