clique_id,graph_id,atoms,bonds,clique_features
0,20,2;3;4;5;6,2:3;2:6;3:2;3:4;4:3;4:5;5:4;5:6;6:2;6:5,0
1,20,13;14;15;16;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:18;18:13;18:16,0
2,20,0;1,0:1;1:0,1
3,20,1;2,1:2;2:1,1
4,20,6;7,6:7;7:6,1
5,20,7;8,7:8;8:7,1
6,20,8;9,8:9;9:8,1
7,20,9;10,9:10;10:9,1
8,20,10;11,10:11;11:10,1
9,20,10;12,10:12;12:10,1
10,20,12;13,12:13;13:12,1
11,20,16;17,16:17;17:16,1
12,20,18;19,18:19;19:18,1
13,20,10,,3
0,21,2;3;4;22;23;26,2:3;2:26;3:2;3:4;4:3;4:22;22:4;22:23;23:22;23:26;26:2;26:23,0
1,21,5;6;7;19;21,5:6;5:21;6:5;6:7;7:6;7:19;19:7;19:21;21:5;21:19,0
2,21,9;10;11;12;13;14,9:10;9:14;10:9;10:11;11:10;11:12;12:11;12:13;13:12;13:14;14:9;14:13,0
3,21,0;1,0:1;1:0,1
4,21,1;2,1:2;2:1,1
5,21,4;5,4:5;5:4,1
6,21,7;8,7:8;8:7,1
7,21,8;9,8:9;9:8,1
8,21,14;15,14:15;15:14,1
9,21,15;16,15:16;16:15,1
10,21,15;17,15:17;17:15,1
11,21,15;18,15:18;18:15,1
12,21,19;20,19:20;20:19,1
13,21,23;24,23:24;24:23,1
14,21,24;25,24:25;25:24,1
15,21,26;27,26:27;27:26,1
16,21,27;28,27:28;28:27,1
17,21,15,,3
0,22,0;1,0:1;1:0,1
1,22,1;2,1:2;2:1,1
2,22,2;3,2:3;3:2,1
3,22,2;5,2:5;5:2,1
4,22,3;4,3:4;4:3,1
5,22,5;6,5:6;6:5,1
6,22,5;7,5:7;7:5,1
7,22,5;9,5:9;9:5,1
8,22,7;8,7:8;8:7,1
9,22,9;10,9:10;10:9,1
10,22,9;11,9:11;11:9,1
11,22,2,,3
12,22,5,,3
13,22,9,,3
0,23,1;2;3;4;5;7,1:2;1:7;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:7;7:1;7:5,0
1,23,10;11;12;13;18;19,10:11;10:19;11:10;11:12;12:11;12:13;13:12;13:18;18:13;18:19;19:10;19:18,0
2,23,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
3,23,0;1,0:1;1:0,1
4,23,5;6,5:6;6:5,1
5,23,7;8,7:8;8:7,1
6,23,8;9,8:9;9:8,1
7,23,8;10,8:10;10:8,1
8,23,8,,3
0,24,2;3;4;18;19;22,2:3;2:22;3:2;3:4;4:3;4:18;18:4;18:19;19:18;19:22;22:2;22:19,0
1,24,5;6;7;8;17,5:6;5:17;6:5;6:7;7:6;7:8;8:7;8:17;17:5;17:8,0
2,24,11;12;13;14;16,11:12;11:16;12:11;12:13;13:12;13:14;14:13;14:16;16:11;16:14,0
3,24,0;1,0:1;1:0,1
4,24,1;2,1:2;2:1,1
5,24,4;5,4:5;5:4,1
6,24,8;9,8:9;9:8,1
7,24,9;10,9:10;10:9,1
8,24,10;11,10:11;11:10,1
9,24,14;15,14:15;15:14,1
10,24,19;20,19:20;20:19,1
11,24,20;21,20:21;21:20,1
12,24,22;23,22:23;23:22,1
13,24,23;24,23:24;24:23,1
0,25,1;2;3;4;21;22,1:2;1:22;2:1;2:3;3:2;3:4;4:3;4:21;21:4;21:22;22:1;22:21,0
1,25,15;16;17;18;19;20,15:16;15:20;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:20;20:15;20:19,0
2,25,0;1,0:1;1:0,1
