clique_id,graph_id,atoms,bonds,clique_features
0,180,1;2;3;4;12,1:2;1:12;2:1;2:3;3:2;3:4;4:3;4:12;12:1;12:4,0
1,180,6;7;8;10;11,6:7;6:11;7:6;7:8;8:7;8:10;10:8;10:11;11:6;11:10,0
2,180,0;1,0:1;1:0,1
3,180,4;5,4:5;5:4,1
4,180,5;6,5:6;6:5,1
5,180,8;9,8:9;9:8,1
0,181,1;3;4;5;6;20,1:3;1:20;3:1;3:4;4:3;4:5;5:4;5:6;6:5;6:20;20:1;20:6,0
1,181,8;9;10;12;13;14,8:9;8:14;9:8;9:10;10:9;10:12;12:10;12:13;13:12;13:14;14:8;14:13,0
2,181,15;16;17;18;19,15:16;15:19;16:15;16:17;17:16;17:18;18:17;18:19;19:15;19:18,0
3,181,0;1,0:1;1:0,1
4,181,1;2,1:2;2:1,1
5,181,6;7,6:7;7:6,1
6,181,7;8,7:8;8:7,1
7,181,10;11,10:11;11:10,1
8,181,14;15,14:15;15:14,1
9,181,1,,3
0,182,1;3;4;5;6;7,1:3;1:7;3:1;3:4;4:3;4:5;5:4;5:6;6:5;6:7;7:1;7:6,0
1,182,8;9;11;13;15;16,8:9;8:16;9:8;9:11;11:9;11:13;13:11;13:15;15:13;15:16;16:8;16:15,0
2,182,5;6;8;16;17,5:6;5:17;6:5;6:8;8:6;8:16;16:8;16:17;17:5;17:16,0
3,182,0;1,0:1;1:0,1
4,182,1;2,1:2;2:1,1
5,182,9;10,9:10;10:9,1
6,182,11;12,11:12;12:11,1
7,182,13;14,13:14;14:13,1
8,182,1,,3
0,183,4;5;6;7;8;14,4:5;4:14;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:14;14:4;14:8,0
1,183,8;9;10;11;13;14,8:9;8:14;9:8;9:10;10:9;10:11;11:10;11:13;13:11;13:14;14:8;14:13,0
2,183,16;17;18;19;20;21,16:17;16:21;17:16;17:18;18:17;18:19;19:18;19:20;20:19;20:21;21:16;21:20,0
3,183,0;1,0:1;1:0,1
4,183,1;2,1:2;2:1,1
5,183,1;15,1:15;15:1,1
6,183,2;3,2:3;3:2,1
7,183,3;4,3:4;4:3,1
8,183,11;12,11:12;12:11,1
9,183,15;16,15:16;16:15,1
10,183,21;22,21:22;22:21,1
11,183,1,,3
0,184,4;5;6;7;8;9,4:5;4:9;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:9;9:4;9:8,0
1,184,12;13;14;15;17;18,12:13;12:18;13:12;13:14;14:13;14:15;15:14;15:17;17:15;17:18;18:12;18:17,0
2,184,0;1,0:1;1:0,1
3,184,1;2,1:2;2:1,1
4,184,1;10,1:10;10:1,1
5,184,2;3,2:3;3:2,1
6,184,3;4,3:4;4:3,1
7,184,10;11,10:11;11:10,1
8,184,11;12,11:12;12:11,1
9,184,15;16,15:16;16:15,1
10,184,1,,3
0,185,2;3;5;6;7;13,2:3;2:13;3:2;3:5;5:3;5:6;6:5;6:7;7:6;7:13;13:2;13:7,0
1,185,6;7;8;10;11;12,6:7;6:12;7:6;7:8;8:7;8:10;10:8;10:11;11:10;11:12;12:6;12:11,0
2,185,14;15;16;17;18;19,14:15;14:19;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:19;19:14;19:18,0
3,185,0;1,0:1;1:0,1
4,185,1;2,1:2;2:1,1
5,185,3;4,3:4;4:3,1
6,185,8;9,8:9;9:8,1
7,185,13;14,13:14;14:13,1
0,186,1;2;3;11;25,1:2;1:25;2:1;2:3;3:2;3:11;11:3;11:25;25:1;25:11,0
1,186,4;5;6;7;8;9,4:5;4:9;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:9;9:4;9:8,0
2,186,15;16;17;18;19;23,15:16;15:23;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:23;23:15;23:19,0
3,186,0;1,0:1;1:0,1
4,186,3;4,3:4;4:3,1
5,186,9;10,9:10;10:9,1
6,186,11;12,11:12;12:11,1
7,186,12;13,12:13;13:12,1
8,186,13;14,13:14;14:13,1
9,186,13;15,13:15;15:13,1
10,186,19;20,19:20;20:19,1
11,186,20;21,20:21;21:20,1
12,186,20;22,20:22;22:20,1
13,186,23;24,23:24;24:23,1
14,186,13,,3
15,186,20,,3
0,187,3;4;5;6;7,3:4;3:7;4:3;4:5;5:4;5:6;6:5;6:7;7:3;7:6,0
1,187,0;1,0:1;1:0,1
2,187,1;2,1:2;2:1,1
3,187,1;9,1:9;9:1,1
4,187,2;3,2:3;3:2,1
5,187,7;8,7:8;8:7,1
6,187,9;10,9:10;10:9,1
7,187,10;11,10:11;11:10,1
8,187,10;12,10:12;12:10,1
9,187,1,,3
10,187,10,,3
0,188,1;2;3;4;5;25,1:2;1:25;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:25;25:1;25:5,0
1,188,6;7;8;9;23;24,6:7;6:24;7:6;7:8;8:7;8:9;9:8;9:23;23:9;23:24;24:6;24:23,0
2,188,13;14;15;16;20;22,13:14;13:22;14:13;14:15;15:14;15:16;16:15;16:20;20:16;20:22;22:13;22:20,0
3,188,0;1,0:1;1:0,1
4,188,5;6,5:6;6:5,1
5,188,9;10,9:10;10:9,1
6,188,10;11,10:11;11:10,1
7,188,10;12,10:12;12:10,1
8,188,12;13,12:13;13:12,1
9,188,16;17,16:17;17:16,1
10,188,17;18,17:18;18:17,1
11,188,17;19,17:19;19:17,1
12,188,20;21,20:21;21:20,1
13,188,10,,3
14,188,17,,3
0,189,1;2;3;4;13;15,1:2;1:15;2:1;2:3;3:2;3:4;4:3;4:13;13:4;13:15;15:1;15:13,0
1,189,5;6;7;8;12,5:6;5:12;6:5;6:7;7:6;7:8;8:7;8:12;12:5;12:8,0
2,189,0;1,0:1;1:0,1
3,189,4;5,4:5;5:4,1
4,189,8;9,8:9;9:8,1
5,189,9;10,9:10;10:9,1
6,189,9;11,9:11;11:9,1
7,189,13;14,13:14;14:13,1
8,189,9,,3
0,190,1;2;3;21;22;23,1:2;1:23;2:1;2:3;3:2;3:21;21:3;21:22;22:21;22:23;23:1;23:22,0
1,190,11;12;13;14;15;20,11:12;11:20;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:20;20:11;20:15,0
2,190,15;16;17;18;19;20,15:16;15:20;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:20;20:15;20:19,0
3,190,0;1,0:1;1:0,1
4,190,3;4,3:4;4:3,1
5,190,4;5,4:5;5:4,1
6,190,4;6,4:6;6:4,1
7,190,6;7,6:7;7:6,1
8,190,7;8,7:8;8:7,1
9,190,8;9,8:9;9:8,1
10,190,8;10,8:10;10:8,1
11,190,10;11,10:11;11:10,1
12,190,23;24,23:24;24:23,1
13,190,24;25,24:25;25:24,1
14,190,24;26,24:26;26:24,1
15,190,4,,3
16,190,8,,3
17,190,24,,3
0,191,2;3;4;13;15;16,2:3;2:16;3:2;3:4;4:3;4:13;13:4;13:15;15:13;15:16;16:2;16:15,0
1,191,6;7;8;9;10;11,6:7;6:11;7:6;7:8;8:7;8:9;9:8;9:10;10:9;10:11;11:6;11:10,0
2,191,0;1,0:1;1:0,1
3,191,1;2,1:2;2:1,1
4,191,4;5,4:5;5:4,1
5,191,5;6,5:6;6:5,1
6,191,11;12,11:12;12:11,1
7,191,13;14,13:14;14:13,1
8,191,16;17,16:17;17:16,1
0,192,10;11;12,10:11;10:12;11:10;11:12;12:10;12:11,0
1,192,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
2,192,0;1,0:1;1:0,1
3,192,1;2,1:2;2:1,1
