clique_id,graph_id,atoms,bonds,clique_features
0,40,1;2;3;4;31;32,1:2;1:32;2:1;2:3;3:2;3:4;4:3;4:31;31:4;31:32;32:1;32:31,0
1,40,6;7;8;9;29;30,6:7;6:30;7:6;7:8;8:7;8:9;9:8;9:29;29:9;29:30;30:6;30:29,0
2,40,12;13;14;21;28,12:13;12:28;13:12;13:14;14:13;14:21;21:14;21:28;28:12;28:21,0
3,40,15;16;17;18;19;20,15:16;15:20;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:20;20:15;20:19,0
4,40,0;1,0:1;1:0,1
5,40,4;5,4:5;5:4,1
6,40,5;6,5:6;6:5,1
7,40,9;10,9:10;10:9,1
8,40,10;11,10:11;11:10,1
9,40,10;12,10:12;12:10,1
10,40,14;15,14:15;15:14,1
11,40,21;22,21:22;22:21,1
12,40,22;23,22:23;23:22,1
13,40,23;24,23:24;24:23,1
14,40,23;25,23:25;25:23,1
15,40,25;26,25:26;26:25,1
16,40,25;27,25:27;27:25,1
17,40,10,,3
18,40,23,,3
19,40,25,,3
0,41,3;4;5;14;15,3:4;3:15;4:3;4:5;5:4;5:14;14:5;14:15;15:3;15:14,0
1,41,7;8;9;10;12;13,7:8;7:13;8:7;8:9;9:8;9:10;10:9;10:12;12:10;12:13;13:7;13:12,0
2,41,18;19;20;21;22,18:19;18:22;19:18;19:20;20:19;20:21;21:20;21:22;22:18;22:21,0
3,41,0;1,0:1;1:0,1
4,41,1;2,1:2;2:1,1
5,41,1;16,1:16;16:1,1
6,41,2;3,2:3;3:2,1
7,41,5;6,5:6;6:5,1
8,41,6;7,6:7;7:6,1
9,41,10;11,10:11;11:10,1
10,41,16;17,16:17;17:16,1
11,41,17;18,17:18;18:17,1
12,41,1,,3
0,42,4;5;6;7;9;10,4:5;4:10;5:4;5:6;6:5;6:7;7:6;7:9;9:7;9:10;10:4;10:9,0
1,42,13;14;15;16;17;22,13:14;13:22;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:22;22:13;22:17,0
2,42,0;1,0:1;1:0,1
3,42,1;2,1:2;2:1,1
4,42,1;11,1:11;11:1,1
5,42,2;3,2:3;3:2,1
6,42,3;4,3:4;4:3,1
7,42,7;8,7:8;8:7,1
8,42,11;12,11:12;12:11,1
9,42,12;13,12:13;13:12,1
10,42,17;18,17:18;18:17,1
11,42,18;19,18:19;19:18,1
12,42,18;20,18:20;20:18,1
13,42,18;21,18:21;21:18,1
14,42,1,,3
15,42,18,,3
0,43,3;4;5;6;15;16,3:4;3:16;4:3;4:5;5:4;5:6;6:5;6:15;15:6;15:16;16:3;16:15,0
1,43,8;9;10;11;13;14,8:9;8:14;9:8;9:10;10:9;10:11;11:10;11:13;13:11;13:14;14:8;14:13,0
2,43,19;20;21;22;23;24,19:20;19:24;20:19;20:21;21:20;21:22;22:21;22:23;23:22;23:24;24:19;24:23,0
3,43,0;1,0:1;1:0,1
4,43,1;2,1:2;2:1,1
5,43,1;17,1:17;17:1,1
6,43,2;3,2:3;3:2,1
