tree_edge_id,graph_id,start_clique,end_clique
0,140,0,3
1,140,0,4
2,140,0,5
3,140,1,11
4,140,2,3
5,140,3,0
6,140,3,2
7,140,4,0
8,140,5,0
9,140,5,6
10,140,6,5
11,140,6,12
12,140,7,12
13,140,8,12
14,140,8,13
15,140,9,13
16,140,10,11
17,140,10,13
18,140,11,1
19,140,11,10
20,140,12,6
21,140,12,7
22,140,12,8
23,140,13,8
24,140,13,9
25,140,13,10
0,141,0,4
1,141,0,5
2,141,0,6
3,141,1,8
4,141,1,9
5,141,2,13
6,141,3,13
7,141,4,0
8,141,4,13
9,141,5,0
10,141,6,0
11,141,6,7
12,141,7,6
13,141,7,8
14,141,8,1
15,141,8,7
16,141,9,1
17,141,9,14
18,141,10,14
19,141,11,14
20,141,12,14
21,141,13,2
22,141,13,3
23,141,13,4
24,141,14,9
25,141,14,10
26,141,14,11
27,141,14,12
0,142,0,1
1,142,0,7
2,142,1,0
3,142,2,5
4,142,3,8
5,142,4,6
6,142,4,8
7,142,5,2
8,142,5,8
9,142,6,4
10,142,6,7
11,142,7,0
12,142,7,6
13,142,8,3
14,142,8,4
15,142,8,5
0,143,0,6
1,143,0,7
2,143,0,13
3,143,1,2
4,143,1,8
5,143,1,9
6,143,1,12
7,143,2,1
8,143,2,10
9,143,3,10
10,143,3,11
11,143,4,5
12,143,5,4
13,143,5,6
14,143,6,0
15,143,6,5
16,143,7,0
17,143,7,8
18,143,8,1
19,143,8,7
20,143,9,1
21,143,10,2
22,143,10,3
23,143,11,3
24,143,12,1
25,143,13,0
26,143,13,14
27,143,14,13
28,143,14,18
29,143,15,18
30,143,16,18
31,143,17,18
32,143,18,14
33,143,18,15
34,143,18,16
35,143,18,17
0,144,0,3
1,144,0,4
2,144,0,6
3,144,1,9
4,144,1,10
5,144,2,3
6,144,3,0
7,144,3,2
8,144,4,0
9,144,4,5
10,144,5,4
11,144,6,0
12,144,6,11
13,144,7,11
14,144,8,9
15,144,8,11
16,144,9,1
17,144,9,8
18,144,10,1
19,144,11,6
20,144,11,7
21,144,11,8
0,145,0,5
1,145,0,6
2,145,1,7
3,145,1,8
4,145,1,14
5,145,2,12
6,145,2,13
7,145,3,13
8,145,4,5
9,145,5,0
10,145,5,4
11,145,6,0
12,145,6,7
13,145,7,1
14,145,7,6
15,145,8,1
16,145,8,15
17,145,9,15
18,145,10,11
19,145,10,15
20,145,11,10
21,145,11,12
22,145,12,2
23,145,12,11
24,145,13,2
25,145,13,3
26,145,14,1
27,145,15,8
28,145,15,9
29,145,15,10
0,146,0,4
1,146,0,5
2,146,0,14
3,146,1,10
4,146,1,11
5,146,1,12
6,146,1,13
7,146,2,12
8,146,3,4
9,146,4,0
10,146,4,3
11,146,5,0
12,146,5,6
13,146,6,5
14,146,6,7
15,146,7,6
16,146,7,8
17,146,8,7
18,146,8,16
19,146,9,16
20,146,10,1
21,146,10,16
22,146,11,1
23,146,12,1
24,146,12,2
25,146,13,1
26,146,14,0
27,146,14,15
28,146,15,14
29,146,16,8
30,146,16,9
31,146,16,10
0,147,0,4
1,147,0,6
2,147,0,7
3,147,1,5
4,147,1,8
5,147,2,8
6,147,3,9
7,147,4,0
8,147,4,9
9,147,5,1
10,147,5,9
11,147,6,0
12,147,7,0
13,147,8,1
14,147,8,2
15,147,9,3
16,147,9,4
17,147,9,5
0,148,0,2
1,148,0,3
2,148,1,7
3,148,1,8
4,148,1,11
5,148,1,12
6,148,2,0
7,148,3,0
8,148,3,4
9,148,4,3
10,148,4,13
11,148,5,13
12,148,6,7
13,148,6,13
14,148,7,1
15,148,7,6
16,148,8,1
17,148,8,14
18,148,9,14
19,148,10,14
20,148,11,1
21,148,12,1
22,148,13,4
23,148,13,5
24,148,13,6
25,148,14,8
26,148,14,9
27,148,14,10
0,149,0,2
1,149,0,4
2,149,0,5
3,149,0,12
4,149,0,13
5,149,1,10
6,149,1,11
7,149,2,0
8,149,3,4
9,149,4,0
10,149,4,3
11,149,5,0
12,149,5,6
13,149,6,5
14,149,6,7
15,149,7,6
16,149,7,15
17,149,8,15
18,149,9,10
19,149,9,15
20,149,10,1
21,149,10,9
22,149,11,1
23,149,12,0
24,149,13,0
25,149,13,14
26,149,14,13
27,149,15,7
28,149,15,8
29,149,15,9
0,150,0,11
1,150,0,12
2,150,1,5
3,150,1,13
4,150,2,3
5,150,3,2
6,150,3,15
7,150,4,6
8,150,4,15
9,150,5,1
10,150,5,15
11,150,6,4
12,150,6,16
13,150,7,16
