clique_id,graph_id,atoms,bonds,clique_features
0,100,6;7;8;9;23;24,6:7;6:24;7:6;7:8;8:7;8:9;9:8;9:23;23:9;23:24;24:6;24:23,0
1,100,11;12;13;21;22,11:12;11:22;12:11;12:13;13:12;13:21;21:13;21:22;22:11;22:21,0
2,100,14;15;16;17;19;20,14:15;14:20;15:14;15:16;16:15;16:17;17:16;17:19;19:17;19:20;20:14;20:19,0
3,100,0;1,0:1;1:0,1
4,100,1;2,1:2;2:1,1
5,100,2;3,2:3;3:2,1
6,100,2;4,2:4;4:2,1
7,100,4;5,4:5;5:4,1
8,100,4;6,4:6;6:4,1
9,100,9;10,9:10;10:9,1
10,100,10;11,10:11;11:10,1
11,100,13;14,13:14;14:13,1
12,100,17;18,17:18;18:17,1
13,100,2,,3
14,100,4,,3
0,101,1;2;3;4;25,1:2;1:25;2:1;2:3;3:2;3:4;4:3;4:25;25:1;25:4,0
1,101,15;16;17;18;23;24,15:16;15:24;16:15;16:17;17:16;17:18;18:17;18:23;23:18;23:24;24:15;24:23,0
2,101,18;19;20;21;22;23,18:19;18:23;19:18;19:20;20:19;20:21;21:20;21:22;22:21;22:23;23:18;23:22,0
3,101,0;1,0:1;1:0,1
4,101,4;5,4:5;5:4,1
5,101,5;6,5:6;6:5,1
6,101,6;7,6:7;7:6,1
7,101,6;8,6:8;8:6,1
8,101,8;9,8:9;9:8,1
9,101,8;10,8:10;10:8,1
10,101,10;11,10:11;11:10,1
11,101,10;12,10:12;12:10,1
12,101,12;13,12:13;13:12,1
13,101,13;14,13:14;14:13,1
14,101,14;15,14:15;15:14,1
15,101,6,,3
16,101,8,,3
17,101,10,,3
0,102,7;8;9;10;11;13,7:8;7:13;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:13;13:7;13:11,0
1,102,15;16;17;18;19,15:16;15:19;16:15;16:17;17:16;17:18;18:17;18:19;19:15;19:18,0
2,102,0;1,0:1;1:0,1
3,102,1;2,1:2;2:1,1
4,102,2;3,2:3;3:2,1
5,102,2;14,2:14;14:2,1
6,102,3;4,3:4;4:3,1
7,102,4;5,4:5;5:4,1
8,102,5;6,5:6;6:5,1
9,102,5;7,5:7;7:5,1
10,102,11;12,11:12;12:11,1
11,102,14;15,14:15;15:14,1
12,102,2,,3
13,102,5,,3
0,103,3;4;5;6;23;24,3:4;3:24;4:3;4:5;5:4;5:6;6:5;6:23;23:6;23:24;24:3;24:23,0
1,103,14;15;16;18;19;20,14:15;14:20;15:14;15:16;16:15;16:18;18:16;18:19;19:18;19:20;20:14;20:19,0
2,103,0;1,0:1;1:0,1
3,103,1;2,1:2;2:1,1
4,103,2;3,2:3;3:2,1
5,103,6;7,6:7;7:6,1
6,103,7;8,7:8;8:7,1
7,103,7;9,7:9;9:7,1
8,103,9;10,9:10;10:9,1
9,103,9;11,9:11;11:9,1
10,103,11;12,11:12;12:11,1
11,103,11;13,11:13;13:11,1
12,103,13;14,13:14;14:13,1
13,103,16;17,16:17;17:16,1
14,103,20;21,20:21;21:20,1
15,103,21;22,21:22;22:21,1
16,103,7,,3
17,103,9,,3
18,103,11,,3
0,104,8;9;10;11;12;25,8:9;8:25;9:8;9:10;10:9;10:11;11:10;11:12;12:11;12:25;25:8;25:12,0
1,104,13;14;15;16;17,13:14;13:17;14:13;14:15;15:14;15:16;16:15;16:17;17:13;17:16,0
2,104,19;20;21;22;23;24,19:20;19:24;20:19;20:21;21:20;21:22;22:21;22:23;23:22;23:24;24:19;24:23,0
3,104,0;1,0:1;1:0,1
