start_id,end_id,bond_id,bond_features
448,449,962,1
449,448,963,1
449,450,964,2
449,474,965,1
450,449,966,2
450,451,967,1
451,450,968,1
451,452,969,1
451,456,970,1
452,451,971,1
452,453,972,1
452,454,973,1
452,455,974,1
453,452,975,1
454,452,976,1
455,452,977,1
456,451,978,1
456,457,979,1
456,474,980,2
457,456,981,1
457,458,982,1
458,457,983,1
458,459,984,2
458,460,985,1
459,458,986,2
460,458,987,1
460,461,988,1
461,460,989,1
461,462,990,1
462,461,991,1
462,463,992,2
462,471,993,1
463,462,994,2
463,464,995,1
464,463,996,1
464,465,997,2
465,464,998,2
465,466,999,1
465,470,1000,1
466,465,1001,1
466,467,1002,2
467,466,1003,2
467,468,1004,1
468,467,1005,1
468,469,1006,2
469,468,1007,2
469,470,1008,1
470,465,1009,1
470,469,1010,1
470,471,1011,2
471,462,1012,1
471,470,1013,2
471,472,1014,1
472,471,1015,1
472,473,1016,2
473,472,1017,2
474,449,1018,1
474,456,1019,2
475,476,1020,1
476,475,1021,1
476,477,1022,2
476,498,1023,1
477,476,1024,2
477,478,1025,1
478,477,1026,1
478,479,1027,2
479,478,1028,2
479,480,1029,1
479,497,1030,1
480,479,1031,1
480,481,1032,1
481,480,1033,1
481,482,1034,2
481,483,1035,1
482,481,1036,2
483,481,1037,1
483,484,1038,1
483,496,1039,1
484,483,1040,1
484,485,1041,1
485,484,1042,1
485,486,1043,1
486,485,1044,1
486,487,1045,1
486,495,1046,1
487,486,1047,1
487,488,1048,1
487,489,1049,1
488,487,1050,1
489,487,1051,1
489,490,1052,2
489,494,1053,1
490,489,1054,2
490,491,1055,1
491,490,1056,1
491,492,1057,2
492,491,1058,2
492,493,1059,1
493,492,1060,1
493,494,1061,2
494,489,1062,1
494,493,1063,2
495,486,1064,1
495,496,1065,1
496,483,1066,1
496,495,1067,1
497,479,1068,1
497,498,1069,2
498,476,1070,1
498,497,1071,2
499,500,1072,1
500,499,1073,1
500,501,1074,2
500,521,1075,1
501,500,1076,2
501,502,1077,1
502,501,1078,1
502,503,1079,2
503,502,1080,2
503,504,1081,1
503,520,1082,1
504,503,1083,1
504,505,1084,2
505,504,1085,2
505,506,1086,1
506,505,1087,1
506,507,1088,2
507,506,1089,2
507,508,1090,1
507,520,1091,1
508,507,1092,1
508,509,1093,1
509,508,1094,1
509,510,1095,2
509,519,1096,1
510,509,1097,2
510,511,1098,1
511,510,1099,1
511,512,1100,1
511,518,1101,1
512,511,1102,1
512,513,1103,2
512,517,1104,1
513,512,1105,2
513,514,1106,1
514,513,1107,1
514,515,1108,2
515,514,1109,2
