atom_id,graph_id,atom_features
936,40,0
937,40,4
938,40,0
939,40,2
940,40,0
941,40,1
942,40,2
943,40,0
944,40,0
945,40,0
946,40,0
947,40,0
948,40,0
949,40,0
950,40,3
951,40,3
952,40,3
953,40,0
954,40,0
955,40,0
956,40,0
957,40,5
958,40,0
959,40,0
960,41,0
961,41,0
962,41,1
963,41,0
964,41,1
965,41,4
966,41,0
967,41,0
968,41,0
969,41,0
970,41,2
971,41,0
972,41,0
973,41,0
974,41,0
975,41,0
976,41,6
977,41,0
978,41,0
979,41,6
980,42,1
981,42,0
982,42,2
983,42,0
984,42,4
985,42,0
986,42,1
987,42,0
988,42,0
989,42,0
990,42,0
991,42,0
992,42,0
993,42,0
994,42,3
995,42,4
996,42,0
997,42,0
998,42,0
999,42,0
1000,42,4
1001,42,0
1002,42,2
1003,42,0
1004,42,0
1005,42,0
1006,42,0
1007,42,0
1008,42,0
1009,42,5
1010,43,0
1011,43,4
1012,43,0
1013,43,0
1014,43,0
1015,43,0
1016,43,0
1017,43,0
1018,43,4
1019,43,2
1020,43,0
1021,43,1
1022,43,4
1023,43,0
1024,43,0
1025,43,1
1026,43,4
1027,43,0
1028,44,0
1029,44,0
1030,44,0
1031,44,0
1032,44,0
1033,44,0
1034,44,0
1035,44,2
1036,44,0
1037,44,0
1038,44,11
1039,44,4
1040,44,0
1041,44,0
1042,44,0
1043,44,1
1044,44,2
1045,44,0
1046,44,0
1047,44,2
1048,45,0
1049,45,0
1050,45,0
1051,45,0
1052,45,0
1053,45,2
1054,45,0
1055,45,1
1056,45,0
1057,45,0
1058,45,0
1059,45,0
1060,45,0
1061,45,0
1062,45,2
1063,45,0
1064,45,5
1065,45,4
1066,45,0
1067,45,0
1068,45,2
1069,45,0
1070,45,0
1071,45,0
1072,45,0
1073,45,0
1074,45,0
1075,45,0
1076,45,1
1077,45,2
1078,45,2
1079,45,0
1080,46,0
1081,46,1
1082,46,0
1083,46,0
1084,46,0
1085,46,0
1086,46,0
1087,46,0
1088,46,1
1089,46,0
1090,46,0
1091,46,0
1092,46,5
1093,46,0
