start_id,end_id,bond_id,bond_features
1875,1876,4040,2
1876,1875,4041,2
1876,1877,4042,1
1877,1876,4043,1
1877,1878,4044,1
1878,1877,4045,1
1878,1879,4046,1
1879,1878,4047,1
1879,1880,4048,2
1879,1881,4049,2
1879,1882,4050,1
1880,1879,4051,2
1881,1879,4052,2
1882,1879,4053,1
1882,1883,4054,2
1882,1897,4055,1
1883,1882,4056,2
1883,1884,4057,1
1884,1883,4058,1
1884,1885,4059,1
1884,1895,4060,2
1885,1884,4061,1
1885,1886,4062,2
1885,1887,4063,1
1886,1885,4064,2
1887,1885,4065,1
1887,1888,4066,1
1887,1893,4067,1
1888,1887,4068,1
1888,1889,4069,1
1889,1888,4070,1
1889,1890,4071,1
1889,1891,4072,1
1890,1889,4073,1
1891,1889,4074,1
1891,1892,4075,1
1892,1891,4076,1
1892,1893,4077,1
1893,1887,4078,1
1893,1892,4079,1
1893,1894,4080,1
1894,1893,4081,1
1895,1884,4082,2
1895,1896,4083,1
1896,1895,4084,1
1896,1897,4085,2
1897,1882,4086,1
1897,1896,4087,2
1897,1898,4088,1
1898,1897,4089,1
1899,1900,4090,1
1900,1899,4091,1
1900,1901,4092,2
1900,1925,4093,1
1901,1900,4094,2
1901,1902,4095,1
1902,1901,4096,1
1902,1903,4097,2
1903,1902,4098,2
1903,1904,4099,1
1903,1923,4100,1
1904,1903,4101,1
1904,1905,4102,1
1904,1918,4103,1
1905,1904,4104,1
1905,1906,4105,1
1906,1905,4106,1
1906,1907,4107,1
1906,1916,4108,1
1907,1906,4109,1
1907,1908,4110,2
1908,1907,4111,2
1908,1909,4112,1
1908,1914,4113,1
1909,1908,4114,1
1909,1910,4115,2
1910,1909,4116,2
1910,1911,4117,1
1911,1910,4118,1
1911,1912,4119,1
1911,1913,4120,2
1912,1911,4121,1
1913,1911,4122,2
1913,1914,4123,1
1914,1908,4124,1
1914,1913,4125,1
1914,1915,4126,2
1915,1914,4127,2
1915,1916,4128,1
1916,1906,4129,1
1916,1915,4130,1
1916,1917,4131,2
