clique_id,atoms,bonds,clique_features
289,449;450;451;456;474,449:450;449:474;450:449;450:451;451:450;451:456;456:451;456:474;474:449;474:456,0
290,462;463;464;465;470;471,462:463;462:471;463:462;463:464;464:463;464:465;465:464;465:470;470:465;470:471;471:462;471:470,0
291,465;466;467;468;469;470,465:466;465:470;466:465;466:467;467:466;467:468;468:467;468:469;469:468;469:470;470:465;470:469,0
292,448;449,448:449;449:448,1
293,451;452,451:452;452:451,1
294,452;453,452:453;453:452,1
295,452;454,452:454;454:452,1
296,452;455,452:455;455:452,1
297,456;457,456:457;457:456,1
298,457;458,457:458;458:457,1
299,458;459,458:459;459:458,1
300,458;460,458:460;460:458,1
301,460;461,460:461;461:460,1
302,461;462,461:462;462:461,1
303,471;472,471:472;472:471,1
304,472;473,472:473;473:472,1
305,452,,3
306,458,,3
307,476;477;478;479;497;498,476:477;476:498;477:476;477:478;478:477;478:479;479:478;479:497;497:479;497:498;498:476;498:497,0
308,483;484;485;486;495;496,483:484;483:496;484:483;484:485;485:484;485:486;486:485;486:495;495:486;495:496;496:483;496:495,0
309,489;490;491;492;493;494,489:490;489:494;490:489;490:491;491:490;491:492;492:491;492:493;493:492;493:494;494:489;494:493,0
310,475;476,475:476;476:475,1
311,479;480,479:480;480:479,1
312,480;481,480:481;481:480,1
313,481;482,481:482;482:481,1
314,481;483,481:483;483:481,1
315,486;487,486:487;487:486,1
316,487;488,487:488;488:487,1
317,487;489,487:489;489:487,1
318,481,,3
319,487,,3
320,500;501;502;503;520;521,500:501;500:521;501:500;501:502;502:501;502:503;503:502;503:520;520:503;520:521;521:500;521:520,0
321,503;504;505;506;507;520,503:504;503:520;504:503;504:505;505:504;505:506;506:505;506:507;507:506;507:520;520:503;520:507,0
322,509;510;511;518;519,509:510;509:519;510:509;510:511;511:510;511:518;518:511;518:519;519:509;519:518,0
323,512;513;514;515;516;517,512:513;512:517;513:512;513:514;514:513;514:515;515:514;515:516;516:515;516:517;517:512;517:516,0
324,499;500,499:500;500:499,1
325,507;508,507:508;508:507,1
326,508;509,508:509;509:508,1
327,511;512,511:512;512:511,1
328,525;526;527;528;547;548,525:526;525:548;526:525;526:527;527:526;527:528;528:527;528:547;547:528;547:548;548:525;548:547,0
329,529;530;531;545;546,529:530;529:546;530:529;530:531;531:530;531:545;545:531;545:546;546:529;546:545,0
330,533;534;535;536;543;544,533:534;533:544;534:533;534:535;535:534;535:536;536:535;536:543;543:536;543:544;544:533;544:543,0
331,537;538;539;540;541;542,537:538;537:542;538:537;538:539;539:538;539:540;540:539;540:541;541:540;541:542;542:537;542:541,0
332,522;523,522:523;523:522,1
333,523;524,523:524;524:523,1
334,524;525,524:525;525:524,1
335,528;529,528:529;529:528,1
336,531;532,531:532;532:531,1
337,532;533,532:533;533:532,1
338,536;537,536:537;537:536,1
339,548;549,548:549;549:548,1
340,549;550,549:550;550:549,1
341,553;554;555;556;557;558,553:554;553:558;554:553;554:555;555:554;555:556;556:555;556:557;557:556;557:558;558:553;558:557,0
342,559;560;561;568;581,559:560;559:581;560:559;560:561;561:560;561:568;568:561;568:581;581:559;581:568,0
343,562;563;564;565;566;567,562:563;562:567;563:562;563:564;564:563;564:565;565:564;565:566;566:565;566:567;567:562;567:566,0
344,568;569;571;579;581,568:569;568:581;569:568;569:571;571:569;571:579;579:571;579:581;581:568;581:579,0
345,572;573;574;575;577;578,572:573;572:578;573:572;573:574;574:573;574:575;575:574;575:577;577:575;577:578;578:572;578:577,0
346,551;552,551:552;552:551,1
347,552;553,552:553;553:552,1
348,552;559,552:559;559:552,1
349,561;562,561:562;562:561,1
350,569;570,569:570;570:569,1
351,571;572,571:572;572:571,1
352,575;576,575:576;576:575,1
353,579;580,579:580;580:579,1
354,552,,3
355,582;583,582:583;583:582,1
356,583;584,583:584;584:583,1
357,584;585,584:585;585:584,1
358,584;586,584:586;586:584,1
359,586;587,586:587;587:586,1
360,587;588,587:588;588:587,1
361,587;589,587:589;589:587,1
362,589;590,589:590;590:589,1
363,590;591,590:591;591:590,1
364,591;592,591:592;592:591,1
365,592;593,592:593;593:592,1
366,592;594,592:594;594:592,1
367,594;595,594:595;595:594,1
368,595;596,595:596;596:595,1
369,595;597,595:597;597:595,1
370,597;598,597:598;598:597,1
371,597;599,597:599;599:597,1
372,584,,3
373,587,,3
374,592,,3
375,595,,3
376,597,,3
377,609;610;611;612;613;614,609:610;609:614;610:609;610:611;611:610;611:612;612:611;612:613;613:612;613:614;614:609;614:613,0
378,617;618;620;621;622,617:618;617:622;618:617;618:620;620:618;620:621;621:620;621:622;622:617;622:621,0
379,600;601,600:601;601:600,1
380,601;602,601:602;602:601,1
381,602;603,602:603;603:602,1
382,603;604,603:604;604:603,1
383,603;605,603:605;605:603,1
384,605;606,605:606;606:605,1
385,606;607,606:607;607:606,1
386,607;608,607:608;608:607,1
387,607;609,607:609;609:607,1
388,614;615,614:615;615:614,1
389,615;616,615:616;616:615,1
390,616;617,616:617;617:616,1
391,618;619,618:619;619:618,1
392,622;623,622:623;623:622,1
393,603,,3
394,607,,3
395,634;635;636;637;638;639,634:635;634:639;635:634;635:636;636:635;636:637;637:636;637:638;638:637;638:639;639:634;639:638,0
396,624;625,624:625;625:624,1
397,625;626,625:626;626:625,1
398,625;627,625:627;627:625,1
399,627;628,627:628;628:627,1
400,628;629,628:629;629:628,1
401,629;630,629:630;630:629,1
402,630;631,630:631;631:630,1
403,631;632,631:632;632:631,1
404,631;633,631:633;633:631,1
405,633;634,633:634;634:633,1
406,639;640,639:640;640:639,1
407,640;641,640:641;641:640,1
408,640;642,640:642;642:640,1
409,640;643,640:643;643:640,1
410,625,,3
411,631,,3
412,640,,3
413,646;647;648;649;658;659,646:647;646:659;647:646;647:648;648:647;648:649;649:648;649:658;658:649;658:659;659:646;659:658,0
414,653;654;655;656;657,653:654;653:657;654:653;654:655;655:654;655:656;656:655;656:657;657:653;657:656,0
415,644;645,644:645;645:644,1
416,645;646,645:646;646:645,1
417,649;650,649:650;650:649,1
418,650;651,650:651;651:650,1
419,651;652,651:652;652:651,1
420,652;653,652:653;653:652,1
421,664;665;666;667;689;690,664:665;664:690;665:664;665:666;666:665;666:667;667:666;667:689;689:667;689:690;690:664;690:689,0
422,668;669;670;671;672;673,668:669;668:673;669:668;669:670;670:669;670:671;671:670;671:672;672:671;672:673;673:668;673:672,0
423,672;673;674;675;688,672:673;672:688;673:672;673:674;674:673;674:675;675:674;675:688;688:672;688:675,0
424,681;682;683;684;686;687,681:682;681:687;682:681;682:683;683:682;683:684;684:683;684:686;686:684;686:687;687:681;687:686,0
425,660;661,660:661;661:660,1
426,661;662,661:662;662:661,1
427,661;663,661:663;663:661,1
428,661;664,661:664;664:661,1
429,667;668,667:668;668:667,1
430,675;676,675:676;676:675,1
431,676;677,676:677;677:676,1
432,677;678,677:678;678:677,1
433,678;679,678:679;679:678,1
434,678;680,678:680;680:678,1
435,680;681,680:681;681:680,1
436,684;685,684:685;685:684,1
437,661,,3
438,678,,3
439,696;697;698;699;701;716,696:697;696:716;697:696;697:698;698:697;698:699;699:698;699:701;701:699;701:716;716:696;716:701,0
440,709;710;711;712;714;715,709:710;709:715;710:709;710:711;711:710;711:712;712:711;712:714;714:712;714:715;715:709;715:714,0
441,691;692,691:692;692:691,1
442,692;693,692:693;693:692,1
443,693;694,693:694;694:693,1
444,693;695,693:695;695:693,1
445,695;696,695:696;696:695,1
446,699;700,699:700;700:699,1
447,701;702,701:702;702:701,1
448,702;703,702:703;703:702,1
449,703;704,703:704;704:703,1
450,704;705,704:705;705:704,1
451,704;706,704:706;706:704,1
452,706;707,706:707;707:706,1
453,707;708,707:708;708:707,1
454,707;709,707:709;709:707,1
455,712;713,712:713;713:712,1
456,693,,3
457,704,,3
458,707,,3
