id,source,target,edge_feature
61,0,159,4.170271157803109
62,0,163,2.3150043676738
63,0,164,2.0257447455859734
64,0,170,3.6952336744968903
65,0,171,4.6495120113213275
66,0,173,0.3376024125547794
67,0,193,3.2538799440950106
68,0,196,1.961637519582034
113,1,154,3.8405163189127425
114,1,164,3.0450824713064497
115,1,185,0.8384470508963893
116,1,199,0.4893000593316843
123,2,152,3.5595348534138678
160,3,162,3.016127734806087
161,3,169,1.0138668496544407
162,3,184,4.959882986068774
194,4,154,1.5944452111535141
195,4,159,3.520700478346183
196,4,160,3.948942639889925
197,4,161,0.7023452518274492
198,4,169,2.2528317132558966
199,4,174,0.6112489293220236
200,4,181,0.939526993389494
201,4,182,2.40842039311367
202,4,187,0.5894035228562056
203,4,188,3.3738878932369882
240,5,168,2.2775649844540853
241,5,189,3.102827966741159
242,5,197,2.3509914576963475
265,6,150,2.222556260620685
266,6,170,4.6620923661520335
267,6,177,4.408198911371824
305,7,163,0.558222914792918
306,7,165,4.325817384915745
307,7,167,0.6578723970862072
308,7,172,0.9550311451826732
309,7,173,4.528583896211117
310,7,175,2.145065187033533
311,7,176,3.896806175373693
312,7,187,4.33950494077245
313,7,191,2.3718719900763268
314,7,199,2.327083138943032
333,8,167,2.350234704792304
346,9,172,2.2429610898200156
368,10,156,0.8972287685205294
369,10,165,3.502001584519806
370,10,167,4.648040383717958
371,10,192,4.791264710722079
419,11,150,3.316557569830445
420,11,151,3.8045386180857066
421,11,157,4.2647273854831145
422,11,158,1.1576276449977079
423,11,167,4.527631201005674
424,11,174,2.129398591411011
425,11,179,3.96611361545229
426,11,183,1.4176602617163159
427,11,184,0.8408855841142315
428,11,187,0.7972295022013698
429,11,193,3.466336166366504
430,11,198,0.36070208846048724
473,12,160,3.5455132828449036
474,12,163,4.8453741957736804
475,12,172,1.7825693634335926
476,12,175,2.468879893593333
477,12,192,4.260232175213398
478,12,195,3.7770999713437425
479,12,196,4.915865378223609
480,12,197,3.656154947952203
525,13,154,3.811326348149888
526,13,156,2.229819291756956
527,13,157,1.6446734774018423
528,13,158,1.5353646689293765
529,13,159,2.7368925523674585
530,13,161,0.7003506482799238
531,13,167,0.2724961560519884
532,13,168,4.139359727148299
533,13,172,0.6967766479523063
534,13,189,2.921864708447676
535,13,194,3.2794085462396074
536,13,196,1.936137572103629
574,14,162,3.3003441038588806
575,14,166,4.376777861249761
576,14,172,2.11447003790402
577,14,186,3.210710690802061
619,15,150,3.21422169818784
620,15,153,3.595829102386299
621,15,154,4.479853829978592
622,15,156,4.6961382405366106
623,15,157,0.09186792715185743
624,15,182,3.6732417724852278
625,15,191,2.4274608964630486
662,16,150,4.904825515024901
663,16,158,1.7329791072085259
664,16,159,1.8835659749850682
665,16,171,4.235329092690105
666,16,177,0.4289424791421287
667,16,178,4.138600092883962
668,16,182,3.3513163414314127
669,16,186,3.3821658162467667
670,16,193,2.035986210315574
671,16,195,4.481162174038684
672,16,198,0.16633880053970374
699,17,151,4.856231352173244
700,17,153,3.5746783559392807
701,17,165,2.667624595416163
702,17,167,1.3081506786670123
703,17,190,4.684933068025373
732,18,153,1.9414103815730384
733,18,166,0.02252976749105462
734,18,170,3.2595337452662854
735,18,174,0.040268520875402225
736,18,183,2.847515315525257
737,18,195,0.7082988817367858
767,19,166,2.9503767961087908
768,19,177,3.9161695834237125
769,19,192,4.31194407996444
770,19,196,3.165596820125784
771,19,197,0.2687442787195732
797,20,155,0.8513180104309481
798,20,179,4.95965746049769
810,21,165,1.2754776609854628
811,21,174,0.8173714881049876
812,21,191,1.6361949665825875
813,21,194,4.79742961837279
837,22,170,0.23617874688854956
838,22,171,1.549579114214239
839,22,173,1.5218869314246453
840,22,183,1.3906802644248895
841,22,195,4.6422492266393025
870,23,163,1.7681145161444918
871,23,168,4.720324205566564
872,23,175,0.40441441063657546
873,23,178,0.4681270914656849
874,23,184,2.888864428999443
875,23,185,2.6052945243346493
876,23,196,0.5989215013523708
898,24,154,2.2795154063447827
899,24,155,3.1523135576941086
900,24,164,4.940082529161839
901,24,187,1.4164319624116866
920,25,152,0.16894874167602048
921,25,153,2.083902535002017
922,25,173,2.545894531539683
933,26,151,4.41216503470932
934,26,173,3.771492408283032
935,26,176,0.4370178549129411
936,26,182,4.876370136318805
937,26,184,4.615794249930676
938,26,190,0.14537951848828834
939,26,191,4.188874259573101
953,27,161,1.0081921216134697
954,27,165,3.2070791989280245
955,27,186,1.400696179121208
956,27,188,1.1701325132048397
975,28,166,3.283950948489944
976,28,181,4.105454657962525
977,28,183,4.546204583415194
978,28,185,1.1478651349247664
984,29,159,3.528045198040426
985,29,177,1.2861920488791134
986,29,187,0.07373276685665342
1006,30,165,3.2970598943042644
