clique_id,graph_id,atoms,bonds,clique_features
0,280,3;4;5,3:4;3:5;4:3;4:5;5:3;5:4,0
1,280,6;7;8;9;10;24,6:7;6:24;7:6;7:8;8:7;8:9;9:8;9:10;10:9;10:24;24:6;24:10,0
2,280,11;12;13;14;22;23,11:12;11:23;12:11;12:13;13:12;13:14;14:13;14:22;22:14;22:23;23:11;23:22,0
3,280,17;18;19;20;21,17:18;17:21;18:17;18:19;19:18;19:20;20:19;20:21;21:17;21:20,0
4,280,0;1,0:1;1:0,1
5,280,1;2,1:2;2:1,1
6,280,1;6,1:6;6:1,1
7,280,2;3,2:3;3:2,1
8,280,10;11,10:11;11:10,1
9,280,14;15,14:15;15:14,1
10,280,15;16,15:16;16:15,1
11,280,15;17,15:17;17:15,1
12,280,1,,3
13,280,15,,3
0,281,2;3;4;5;16;17,2:3;2:17;3:2;3:4;4:3;4:5;5:4;5:16;16:5;16:17;17:2;17:16,0
1,281,11;12;13;14;15,11:12;11:15;12:11;12:13;13:12;13:14;14:13;14:15;15:11;15:14,0
2,281,0;1,0:1;1:0,1
3,281,1;2,1:2;2:1,1
4,281,5;6,5:6;6:5,1
5,281,6;7,6:7;7:6,1
6,281,6;8,6:8;8:6,1
7,281,8;9,8:9;9:8,1
8,281,9;10,9:10;10:9,1
9,281,9;11,9:11;11:9,1
10,281,17;18,17:18;18:17,1
11,281,18;19,18:19;19:18,1
12,281,19;20,19:20;20:19,1
13,281,19;21,19:21;21:19,1
14,281,6,,3
15,281,9,,3
16,281,19,,3
0,282,3;4;5;7;21,3:4;3:21;4:3;4:5;5:4;5:7;7:5;7:21;21:3;21:7,0
1,282,11;12;13;14;19;20,11:12;11:20;12:11;12:13;13:12;13:14;14:13;14:19;19:14;19:20;20:11;20:19,0
2,282,14;15;16;17;18;19,14:15;14:19;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:19;19:14;19:18,0
3,282,0;1,0:1;1:0,1
4,282,1;2,1:2;2:1,1
5,282,2;3,2:3;3:2,1
6,282,5;6,5:6;6:5,1
7,282,7;8,7:8;8:7,1
8,282,8;9,8:9;9:8,1
9,282,8;10,8:10;10:8,1
10,282,10;11,10:11;11:10,1
11,282,8,,3
0,283,7;8;9;10;16;17,7:8;7:17;8:7;8:9;9:8;9:10;10:9;10:16;16:10;16:17;17:7;17:16,0
1,283,10;11;12;13;14;15;16,10:11;10:16;11:10;11:12;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:16;16:10;16:15,0
2,283,18;19;20;21;26;27,18:19;18:27;19:18;19:20;20:19;20:21;21:20;21:26;26:21;26:27;27:18;27:26,0
3,283,21;22;23;24;25;26,21:22;21:26;22:21;22:23;23:22;23:24;24:23;24:25;25:24;25:26;26:21;26:25,0
4,283,0;1,0:1;1:0,1
5,283,1;2,1:2;2:1,1
6,283,1;18,1:18;18:1,1
7,283,2;3,2:3;3:2,1
8,283,3;4,3:4;4:3,1
9,283,3;5,3:5;5:3,1
10,283,5;6,5:6;6:5,1
11,283,6;7,6:7;7:6,1
12,283,1,,3
13,283,3,,3
0,284,3;4;6;7;12;13,3:4;3:13;4:3;4:6;6:4;6:7;7:6;7:12;12:7;12:13;13:3;13:12,0
1,284,7;8;9;10;11;12,7:8;7:12;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:12;12:7;12:11,0
2,284,16;17;18;19;20,16:17;16:20;17:16;17:18;18:17;18:19;19:18;19:20;20:16;20:19,0
3,284,22;23;24;25;27;28,22:23;22:28;23:22;23:24;24:23;24:25;25:24;25:27;27:25;27:28;28:22;28:27,0
4,284,0;1,0:1;1:0,1
5,284,1;2,1:2;2:1,1
6,284,1;21,1:21;21:1,1
7,284,2;3,2:3;3:2,1
8,284,4;5,4:5;5:4,1
9,284,13;14,13:14;14:13,1
10,284,14;15,14:15;15:14,1
11,284,14;16,14:16;16:14,1
12,284,21;22,21:22;22:21,1
13,284,25;26,25:26;26:25,1
14,284,1,,3
15,284,14,,3
0,285,2;3;4;5;6;7;8,2:3;2:8;3:2;3:4;4:3;4:5;5:4;5:6;6:5;6:7;7:6;7:8;8:2;8:7,0
1,285,6;9;10;11;13,6:9;6:13;9:6;9:10;10:9;10:11;11:10;11:13;13:6;13:11,0
2,285,14;15;16;17;19;20,14:15;14:20;15:14;15:16;16:15;16:17;17:16;17:19;19:17;19:20;20:14;20:19,0
3,285,0;1,0:1;1:0,1
4,285,1;2,1:2;2:1,1
5,285,11;12,11:12;12:11,1
6,285,13;14,13:14;14:13,1
7,285,17;18,17:18;18:17,1
0,286,2;3;4;5;6;19,2:3;2:19;3:2;3:4;4:3;4:5;5:4;5:6;6:5;6:19;19:2;19:6,0
1,286,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
2,286,0;1,0:1;1:0,1
3,286,1;2,1:2;2:1,1
4,286,6;7,6:7;7:6,1
5,286,7;8,7:8;8:7,1
6,286,7;9,7:9;9:7,1
7,286,9;10,9:10;10:9,1
8,286,10;11,10:11;11:10,1
9,286,11;12,11:12;12:11,1
10,286,12;13,12:13;13:12,1
11,286,7,,3
0,287,4;5;6;7;19,4:5;4:19;5:4;5:6;6:5;6:7;7:6;7:19;19:4;19:7,0
1,287,10;11;12;13;14;18,10:11;10:18;11:10;11:12;12:11;12:13;13:12;13:14;14:13;14:18;18:10;18:14,0
2,287,14;15;16;17;18,14:15;14:18;15:14;15:16;16:15;16:17;17:16;17:18;18:14;18:17,0
3,287,0;1,0:1;1:0,1
4,287,1;2,1:2;2:1,1
5,287,1;3,1:3;3:1,1
6,287,1;4,1:4;4:1,1
7,287,7;8,7:8;8:7,1
8,287,8;9,8:9;9:8,1
9,287,8;10,8:10;10:8,1
10,287,1,,3
11,287,8,,3
0,288,1;2;3;15;16,1:2;1:16;2:1;2:3;3:2;3:15;15:3;15:16;16:1;16:15,0
1,288,7;8;9;10;11,7:8;7:11;8:7;8:9;9:8;9:10;10:9;10:11;11:7;11:10,0
2,288,0;1,0:1;1:0,1
3,288,3;4,3:4;4:3,1
4,288,4;5,4:5;5:4,1
5,288,5;6,5:6;6:5,1
6,288,6;7,6:7;7:6,1
7,288,11;12,11:12;12:11,1
8,288,12;13,12:13;13:12,1
9,288,12;14,12:14;14:12,1
10,288,12,,3
0,289,3;4;6;7;8;14,3:4;3:14;4:3;4:6;6:4;6:7;7:6;7:8;8:7;8:14;14:3;14:8,0
1,289,8;9;10;12;13;14,8:9;8:14;9:8;9:10;10:9;10:12;12:10;12:13;13:12;13:14;14:8;14:13,0
2,289,18;19;20;21;26;27,18:19;18:27;19:18;19:20;20:19;20:21;21:20;21:26;26:21;26:27;27:18;27:26,0
3,289,21;22;23;24;25;26,21:22;21:26;22:21;22:23;23:22;23:24;24:23;24:25;25:24;25:26;26:21;26:25,0
4,289,0;1,0:1;1:0,1
5,289,1;2,1:2;2:1,1
6,289,1;15,1:15;15:1,1
7,289,2;3,2:3;3:2,1
8,289,4;5,4:5;5:4,1
9,289,10;11,10:11;11:10,1
10,289,15;16,15:16;16:15,1
11,289,16;17,16:17;17:16,1
12,289,17;18,17:18;18:17,1
13,289,1,,3
0,290,1;2;4;5;6;7,1:2;1:7;2:1;2:4;4:2;4:5;5:4;5:6;6:5;6:7;7:1;7:6,0
1,290,9;10;11;12;13;14,9:10;9:14;10:9;10:11;11:10;11:12;12:11;12:13;13:12;13:14;14:9;14:13,0
2,290,13;14;15;16;17,13:14;13:17;14:13;14:15;15:14;15:16;16:15;16:17;17:13;17:16,0
3,290,0;1,0:1;1:0,1
4,290,2;3,2:3;3:2,1
5,290,7;8,7:8;8:7,1
6,290,8;9,8:9;9:8,1
0,291,6;7;8;9;11;12,6:7;6:12;7:6;7:8;8:7;8:9;9:8;9:11;11:9;11:12;12:6;12:11,0
1,291,0;1,0:1;1:0,1
2,291,1;2,1:2;2:1,1
3,291,2;3,2:3;3:2,1
4,291,3;4,3:4;4:3,1
5,291,4;5,4:5;5:4,1
6,291,5;6,5:6;6:5,1
7,291,9;10,9:10;10:9,1
8,291,12;13,12:13;13:12,1
0,292,5;6;7;8;9;10,5:6;5:10;6:5;6:7;7:6;7:8;8:7;8:9;9:8;9:10;10:5;10:9,0
1,292,18;19;20;21;22;23,18:19;18:23;19:18;19:20;20:19;20:21;21:20;21:22;22:21;22:23;23:18;23:22,0
2,292,0;1,0:1;1:0,1
3,292,1;2,1:2;2:1,1
4,292,2;3,2:3;3:2,1
5,292,2;4,2:4;4:2,1
6,292,4;5,4:5;5:4,1
7,292,10;11,10:11;11:10,1
8,292,11;12,11:12;12:11,1
9,292,11;13,11:13;13:11,1
10,292,13;14,13:14;14:13,1
11,292,13;15,13:15;15:13,1
12,292,15;16,15:16;16:15,1
13,292,16;17,16:17;17:16,1
14,292,17;18,17:18;18:17,1
15,292,2,,3
16,292,11,,3
17,292,13,,3
0,293,3;4;16;17;18,3:4;3:18;4:3;4:16;16:4;16:17;17:16;17:18;18:3;18:17,0
1,293,10;11;12;13;15,10:11;10:15;11:10;11:12;12:11;12:13;13:12;13:15;15:10;15:13,0
2,293,19;20;21;22;27;28,19:20;19:28;20:19;20:21;21:20;21:22;22:21;22:27;27:22;27:28;28:19;28:27,0
3,293,22;23;24;25;26;27,22:23;22:27;23:22;23:24;24:23;24:25;25:24;25:26;26:25;26:27;27:22;27:26,0
4,293,0;1,0:1;1:0,1
5,293,1;2,1:2;2:1,1
6,293,2;3,2:3;3:2,1
7,293,4;5,4:5;5:4,1
8,293,5;6,5:6;6:5,1
9,293,6;7,6:7;7:6,1
10,293,7;8,7:8;8:7,1
11,293,7;9,7:9;9:7,1
12,293,9;10,9:10;10:9,1
13,293,13;14,13:14;14:13,1
14,293,18;19,18:19;19:18,1
15,293,7,,3
0,294,1;2;3;4;17;18,1:2;1:18;2:1;2:3;3:2;3:4;4:3;4:17;17:4;17:18;18:1;18:17,0
1,294,11;12;13;14;15;16,11:12;11:16;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:16;16:11;16:15,0
2,294,0;1,0:1;1:0,1
3,294,4;5,4:5;5:4,1
4,294,5;6,5:6;6:5,1
5,294,6;7,6:7;7:6,1
6,294,7;8,7:8;8:7,1
7,294,8;9,8:9;9:8,1
8,294,9;10,9:10;10:9,1
9,294,10;11,10:11;11:10,1
10,294,18;19,18:19;19:18,1
0,295,11;12;13;14;15;20,11:12;11:20;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:20;20:11;20:15,0
1,295,0;1,0:1;1:0,1
2,295,1;2,1:2;2:1,1
3,295,2;3,2:3;3:2,1
4,295,2;4,2:4;4:2,1
5,295,4;5,4:5;5:4,1
6,295,4;6,4:6;6:4,1
7,295,6;7,6:7;7:6,1
8,295,7;8,7:8;8:7,1
9,295,8;9,8:9;9:8,1
10,295,8;10,8:10;10:8,1
11,295,10;11,10:11;11:10,1
12,295,15;16,15:16;16:15,1
13,295,16;17,16:17;17:16,1
14,295,17;18,17:18;18:17,1
15,295,17;19,17:19;19:17,1
16,295,2,,3
17,295,4,,3
18,295,8,,3
19,295,17,,3
0,296,7;8;9;10;13;14,7:8;7:14;8:7;8:9;9:8;9:10;10:9;10:13;13:10;13:14;14:7;14:13,0
1,296,0;1,0:1;1:0,1
2,296,1;2,1:2;2:1,1
3,296,2;3,2:3;3:2,1
4,296,3;4,3:4;4:3,1
5,296,4;5,4:5;5:4,1
6,296,5;6,5:6;6:5,1
7,296,5;7,5:7;7:5,1
8,296,10;11,10:11;11:10,1
9,296,11;12,11:12;12:11,1
10,296,5,,3
0,297,1;2;3;17;18;23,1:2;1:23;2:1;2:3;3:2;3:17;17:3;17:18;18:17;18:23;23:1;23:18,0
1,297,4;5;6;7;8;16,4:5;4:16;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:16;16:4;16:8,0
2,297,10;11;12;13;14;15,10:11;10:15;11:10;11:12;12:11;12:13;13:12;13:14;14:13;14:15;15:10;15:14,0
3,297,18;19;20;21;22;23,18:19;18:23;19:18;19:20;20:19;20:21;21:20;21:22;22:21;22:23;23:18;23:22,0
4,297,0;1,0:1;1:0,1
5,297,3;4,3:4;4:3,1
6,297,8;9,8:9;9:8,1
7,297,9;10,9:10;10:9,1
0,298,3;4;5;6;7;8,3:4;3:8;4:3;4:5;5:4;5:6;6:5;6:7;7:6;7:8;8:3;8:7,0
1,298,12;13;14;15;16,12:13;12:16;13:12;13:14;14:13;14:15;15:14;15:16;16:12;16:15,0
2,298,18;19;20;22;25;26,18:19;18:26;19:18;19:20;20:19;20:22;22:20;22:25;25:22;25:26;26:18;26:25,0
3,298,5;6;12;16;17;28;29,5:6;5:29;6:5;6:12;12:6;12:16;16:12;16:17;17:16;17:28;28:17;28:29;29:5;29:28,0
4,298,0;1,0:1;1:0,1
5,298,1;2,1:2;2:1,1
6,298,2;3,2:3;3:2,1
7,298,8;9,8:9;9:8,1
8,298,9;10,9:10;10:9,1
9,298,10;11,10:11;11:10,1
10,298,17;18,17:18;18:17,1
11,298,20;21,20:21;21:20,1
12,298,22;23,22:23;23:22,1
13,298,23;24,23:24;24:23,1
14,298,26;27,26:27;27:26,1
0,299,10;11;12;13;24;25,10:11;10:25;11:10;11:12;12:11;12:13;13:12;13:24;24:13;24:25;25:10;25:24,0
1,299,14;15;16;17;22;23,14:15;14:23;15:14;15:16;16:15;16:17;17:16;17:22;22:17;22:23;23:14;23:22,0
2,299,0;1,0:1;1:0,1
3,299,1;2,1:2;2:1,1
4,299,2;3,2:3;3:2,1
5,299,2;4,2:4;4:2,1
6,299,4;5,4:5;5:4,1
7,299,5;6,5:6;6:5,1
8,299,6;7,6:7;7:6,1
9,299,7;8,7:8;8:7,1
10,299,8;9,8:9;9:8,1
11,299,8;10,8:10;10:8,1
12,299,13;14,13:14;14:13,1
13,299,17;18,17:18;18:17,1
14,299,18;19,18:19;19:18,1
15,299,18;20,18:20;20:18,1
16,299,18;21,18:21;21:18,1
17,299,2,,3
18,299,8,,3
19,299,18,,3
