tree_edge_id,graph_id,start_clique,end_clique
0,0,0,2
1,0,0,3
2,0,1,5
3,0,1,6
4,0,2,0
5,0,3,0
6,0,3,4
7,0,4,3
8,0,4,5
9,0,5,1
10,0,5,4
11,0,6,1
0,1,0,11
1,1,0,12
2,1,0,13
3,1,1,4
4,1,2,14
5,1,3,5
6,1,3,14
7,1,4,1
8,1,4,14
9,1,5,3
10,1,5,6
11,1,6,5
12,1,6,7
13,1,7,6
14,1,7,8
15,1,8,7
16,1,8,15
17,1,9,15
18,1,10,15
19,1,11,0
20,1,11,15
21,1,12,0
22,1,13,0
23,1,14,2
24,1,14,3
25,1,14,4
26,1,15,8
27,1,15,9
28,1,15,10
29,1,15,11
0,2,0,2
1,2,0,3
2,2,0,4
3,2,1,10
4,2,2,0
5,2,3,0
6,2,4,0
7,2,4,5
8,2,5,4
9,2,5,13
10,2,6,13
11,2,7,8
12,2,7,13
13,2,8,7
14,2,8,14
15,2,9,14
16,2,9,15
17,2,10,1
18,2,10,14
19,2,11,15
20,2,12,15
21,2,13,5
22,2,13,6
23,2,13,7
24,2,14,8
25,2,14,9
26,2,14,10
27,2,15,9
28,2,15,11
29,2,15,12
0,3,0,4
1,3,0,5
2,3,0,6
3,3,0,16
4,3,1,17
5,3,2,17
6,3,3,4
7,3,3,17
8,3,4,0
9,3,4,3
10,3,5,0
11,3,6,0
12,3,6,7
13,3,7,6
14,3,7,18
15,3,8,18
16,3,9,10
17,3,9,18
18,3,10,9
19,3,10,19
20,3,11,19
21,3,12,19
22,3,12,20
23,3,13,20
24,3,14,15
25,3,14,20
26,3,15,14
27,3,16,0
28,3,17,1
29,3,17,2
30,3,17,3
31,3,18,7
32,3,18,8
33,3,18,9
34,3,19,10
35,3,19,11
36,3,19,12
37,3,20,12
38,3,20,13
39,3,20,14
0,4,0,1
1,4,0,8
2,4,1,0
3,4,2,7
4,4,3,4
5,4,4,3
6,4,4,5
7,4,5,4
8,4,5,9
9,4,6,8
10,4,6,9
11,4,7,2
12,4,7,9
13,4,8,0
14,4,8,6
15,4,9,5
16,4,9,6
17,4,9,7
0,5,0,1
1,5,0,4
2,5,1,0
3,5,1,5
4,5,1,6
5,5,2,10
6,5,2,11
7,5,3,4
8,5,4,0
9,5,4,3
10,5,5,1
11,5,6,1
12,5,6,7
13,5,7,6
14,5,7,13
15,5,8,13
16,5,9,10
17,5,9,13
18,5,10,2
19,5,10,9
20,5,11,2
21,5,11,12
22,5,12,11
23,5,13,7
24,5,13,8
25,5,13,9
0,6,0,1
1,6,0,4
2,6,1,0
3,6,1,5
4,6,2,5
5,6,3,4
6,6,4,0
7,6,4,3
8,6,5,1
9,6,5,2
0,7,0,1
1,7,0,6
2,7,0,7
3,7,1,0
4,7,2,10
5,7,3,4
6,7,4,3
7,7,4,11
8,7,5,11
9,7,6,0
10,7,6,11
11,7,7,0
12,7,7,12
13,7,8,12
14,7,9,12
15,7,10,2
16,7,10,12
17,7,11,4
18,7,11,5
19,7,11,6
20,7,12,7
21,7,12,8
22,7,12,9
23,7,12,10
0,8,0,4
1,8,0,5
2,8,1,2
3,8,1,5
4,8,2,1
5,8,2,6
6,8,3,4
7,8,4,0
8,8,4,3
9,8,5,0
10,8,5,1
11,8,6,2
0,9,0,6
1,9,0,7
2,9,0,10
3,9,1,11
4,9,2,12
5,9,3,5
6,9,3,12
7,9,4,11
8,9,4,12
9,9,5,3
10,9,5,6
11,9,6,0
12,9,6,5
13,9,7,0
14,9,7,13
15,9,8,13
16,9,9,13
17,9,10,0
18,9,11,1
19,9,11,4
20,9,12,2
21,9,12,3
22,9,12,4
23,9,13,7
24,9,13,8
25,9,13,9
0,10,0,7
1,10,0,8
2,10,1,14
3,10,1,15
4,10,2,16
5,10,3,16
6,10,4,16
7,10,5,16
8,10,5,17
9,10,6,17
10,10,7,0
11,10,7,17
12,10,8,0
13,10,8,9
14,10,9,8
15,10,9,18
16,10,10,18
17,10,11,12
18,10,11,18
19,10,12,11
20,10,12,13
21,10,13,12
22,10,13,14
23,10,14,1
24,10,14,13
25,10,15,1
26,10,16,2
27,10,16,3
28,10,16,4
29,10,16,5
30,10,17,5
31,10,17,6
32,10,17,7
33,10,18,9
34,10,18,10
35,10,18,11
0,11,0,4
1,11,0,5
2,11,1,6
3,11,1,7
4,11,2,7
5,11,2,8
6,11,3,4
7,11,4,0
8,11,4,3
9,11,5,0
10,11,5,6
11,11,6,1
12,11,6,5
13,11,7,1
14,11,7,2
15,11,8,2
0,12,0,5
1,12,0,6
2,12,1,7
3,12,1,8
4,12,1,9
5,12,1,11
6,12,2,10
7,12,3,4
8,12,4,3
9,12,4,5
10,12,5,0
11,12,5,4
12,12,6,0
13,12,6,7
14,12,7,1
15,12,7,6
16,12,8,1
17,12,9,1
18,12,9,10
19,12,10,2
20,12,10,9
21,12,11,1
0,13,0,8
1,13,0,9
2,13,0,10
3,13,1,13
4,13,1,14
5,13,2,3
6,13,3,2
7,13,3,15
8,13,4,6
9,13,4,15
10,13,5,15
11,13,5,16
12,13,6,4
13,13,7,16
14,13,8,0
15,13,8,16
16,13,9,0
17,13,10,0
18,13,10,17
19,13,11,17
20,13,12,13
21,13,12,17
22,13,13,1
23,13,13,12
24,13,14,1
25,13,15,3
26,13,15,4
27,13,15,5
28,13,16,5
29,13,16,7
30,13,16,8
31,13,17,10
32,13,17,11
33,13,17,12
0,14,0,3
1,14,0,4
2,14,0,5
3,14,1,5
4,14,1,6
5,14,2,11
6,14,2,12
7,14,3,0
8,14,4,0
9,14,5,0
10,14,5,1
11,14,6,1
12,14,6,7
13,14,7,6
14,14,7,8
15,14,8,7
16,14,8,15
17,14,9,15
18,14,10,11
19,14,10,15
20,14,11,2
21,14,11,10
22,14,12,2
23,14,12,16
24,14,13,16
25,14,14,16
26,14,15,8
27,14,15,9
28,14,15,10
29,14,16,12
30,14,16,13
31,14,16,14
0,15,0,7
1,15,0,8
2,15,1,5
3,15,1,12
4,15,2,15
5,15,3,16
6,15,4,6
7,15,4,16
8,15,5,1
9,15,5,16
10,15,6,4
11,15,6,7
12,15,7,0
13,15,7,6
14,15,8,0
15,15,8,17
16,15,9,17
17,15,10,17
18,15,11,17
19,15,12,1
20,15,12,18
21,15,13,18
22,15,14,18
23,15,15,2
24,15,15,18
25,15,16,3
26,15,16,4
27,15,16,5
28,15,17,8
29,15,17,9
30,15,17,10
31,15,17,11
32,15,18,12
33,15,18,13
34,15,18,14
35,15,18,15
0,16,0,4
1,16,0,5
2,16,1,5
3,16,1,6
4,16,1,7
5,16,1,14
6,16,2,16
7,16,2,17
8,16,3,14
9,16,4,0
10,16,5,0
11,16,5,1
12,16,6,1
13,16,7,1
14,16,7,15
15,16,8,15
16,16,9,10
17,16,9,15
18,16,10,9
19,16,10,16
20,16,11,16
21,16,12,17
22,16,13,17
23,16,14,1
24,16,14,3
25,16,15,7
26,16,15,8
27,16,15,9
28,16,16,2
29,16,16,10
30,16,16,11
31,16,17,2
32,16,17,12
33,16,17,13
0,17,0,4
1,17,0,5
2,17,1,2
3,17,1,9
4,17,1,10
5,17,2,1
6,17,3,10
7,17,4,0
8,17,5,0
9,17,5,11
10,17,6,11
11,17,7,11
12,17,8,9
13,17,8,11
14,17,9,1
15,17,9,8
16,17,10,1
17,17,10,3
18,17,11,5
19,17,11,6
20,17,11,7
21,17,11,8
0,18,0,7
1,18,0,8
2,18,1,9
3,18,2,11
4,18,3,12
5,18,4,6
6,18,4,12
7,18,5,12
8,18,5,13
9,18,6,4
10,18,6,7
11,18,7,0
12,18,7,6
13,18,8,0
14,18,8,9
15,18,9,1
16,18,9,8
17,18,10,13
18,18,11,2
19,18,11,13
20,18,12,3
21,18,12,4
22,18,12,5
23,18,13,5
24,18,13,10
25,18,13,11
0,19,0,2
1,19,0,3
2,19,1,8
3,19,1,9
4,19,2,0
5,19,3,0
6,19,3,4
7,19,4,3
8,19,4,5
9,19,5,4
10,19,5,10
11,19,6,10
12,19,7,8
13,19,7,10
14,19,8,1
15,19,8,7
16,19,9,1
17,19,10,5
18,19,10,6
19,19,10,7
