clique_id,graph_id,atoms,bonds,clique_features
0,380,2;3;4;19;20,2:3;2:20;3:2;3:4;4:3;4:19;19:4;19:20;20:2;20:19,0
1,380,4;5;6;7;8;19,4:5;4:19;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:19;19:4;19:8,0
2,380,10;11;12;13;17,10:11;10:17;11:10;11:12;12:11;12:13;13:12;13:17;17:10;17:13,0
3,380,14;15;16,14:15;14:16;15:14;15:16;16:14;16:15,0
4,380,0;1,0:1;1:0,1
5,380,1;2,1:2;2:1,1
6,380,8;9,8:9;9:8,1
7,380,9;10,9:10;10:9,1
8,380,13;14,13:14;14:13,1
9,380,17;18,17:18;18:17,1
0,381,2;3;4;5;17;18,2:3;2:18;3:2;3:4;4:3;4:5;5:4;5:17;17:5;17:18;18:2;18:17,0
1,381,6;7;8;13;14;16,6:7;6:16;7:6;7:8;8:7;8:13;13:8;13:14;14:13;14:16;16:6;16:14,0
2,381,0;1,0:1;1:0,1
3,381,1;2,1:2;2:1,1
4,381,5;6,5:6;6:5,1
5,381,8;9,8:9;9:8,1
6,381,9;10,9:10;10:9,1
7,381,9;11,9:11;11:9,1
8,381,9;12,9:12;12:9,1
9,381,14;15,14:15;15:14,1
10,381,9,,3
0,382,9;10;11;12;14;16,9:10;9:16;10:9;10:11;11:10;11:12;12:11;12:14;14:12;14:16;16:9;16:14,0
1,382,0;1,0:1;1:0,1
2,382,1;2,1:2;2:1,1
3,382,1;3,1:3;3:1,1
4,382,3;4,3:4;4:3,1
5,382,4;5,4:5;5:4,1
6,382,4;6,4:6;6:4,1
7,382,6;7,6:7;7:6,1
8,382,6;8,6:8;8:6,1
9,382,8;9,8:9;9:8,1
10,382,12;13,12:13;13:12,1
11,382,14;15,14:15;15:14,1
12,382,1,,3
13,382,4,,3
14,382,6,,3
0,383,2;3;4;22;23;25,2:3;2:25;3:2;3:4;4:3;4:22;22:4;22:23;23:22;23:25;25:2;25:23,0
1,383,7;8;9;10;11;21,7:8;7:21;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:21;21:7;21:11,0
2,383,12;13;14;19;20,12:13;12:20;13:12;13:14;14:13;14:19;19:14;19:20;20:12;20:19,0
