clique_id,graph_id,atoms,bonds,clique_features
0,200,5;6;7;12;13,5:6;5:13;6:5;6:7;7:6;7:12;12:7;12:13;13:5;13:12,0
1,200,7;8;9;10;11;12,7:8;7:12;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:12;12:7;12:11,0
2,200,14;15;16;17;18;27;28,14:15;14:28;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:27;27:18;27:28;28:14;28:27,0
3,200,20;21;22;23;25;26,20:21;20:26;21:20;21:22;22:21;22:23;23:22;23:25;25:23;25:26;26:20;26:25,0
4,200,0;1,0:1;1:0,1
5,200,1;2,1:2;2:1,1
6,200,1;14,1:14;14:1,1
7,200,2;3,2:3;3:2,1
8,200,3;4,3:4;4:3,1
9,200,4;5,4:5;5:4,1
10,200,18;19,18:19;19:18,1
11,200,19;20,19:20;20:19,1
12,200,23;24,23:24;24:23,1
13,200,1,,3
0,201,2;3;4;5;6;26,2:3;2:26;3:2;3:4;4:3;4:5;5:4;5:6;6:5;6:26;26:2;26:6,0
1,201,13;14;15;16;24;25,13:14;13:25;14:13;14:15;15:14;15:16;16:15;16:24;24:16;24:25;25:13;25:24,0
2,201,17;18;19;20;21;22,17:18;17:22;18:17;18:19;19:18;19:20;20:19;20:21;21:20;21:22;22:17;22:21,0
3,201,0;1,0:1;1:0,1
4,201,1;2,1:2;2:1,1
5,201,6;7,6:7;7:6,1
6,201,7;8,7:8;8:7,1
7,201,8;9,8:9;9:8,1
8,201,9;10,9:10;10:9,1
9,201,10;11,10:11;11:10,1
10,201,10;12,10:12;12:10,1
11,201,12;13,12:13;13:12,1
12,201,16;17,16:17;17:16,1
13,201,22;23,22:23;23:22,1
14,201,10,,3
0,202,4;5;6;7;8;9,4:5;4:9;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:9;9:4;9:8,0
1,202,15;16;17,15:16;15:17;16:15;16:17;17:15;17:16,0
2,202,0;1,0:1;1:0,1
3,202,1;2,1:2;2:1,1
4,202,2;3,2:3;3:2,1
5,202,2;4,2:4;4:2,1
6,202,9;10,9:10;10:9,1
