clique_id,graph_id,atoms,bonds,clique_features
0,80,1;2;3;18;19;21,1:2;1:21;2:1;2:3;3:2;3:18;18:3;18:19;19:18;19:21;21:1;21:19,0
1,80,5;6;7;8;9;10,5:6;5:10;6:5;6:7;7:6;7:8;8:7;8:9;9:8;9:10;10:5;10:9,0
2,80,0;1,0:1;1:0,1
3,80,3;4,3:4;4:3,1
4,80,4;5,4:5;5:4,1
5,80,10;11,10:11;11:10,1
6,80,11;12,11:12;12:11,1
7,80,12;13,12:13;13:12,1
8,80,13;14,13:14;14:13,1
9,80,13;16,13:16;16:13,1
10,80,14;15,14:15;15:14,1
11,80,16;17,16:17;17:16,1
12,80,19;20,19:20;20:19,1
13,80,13,,3
0,81,0;1,0:1;1:0,1
1,81,1;2,1:2;2:1,1
2,81,2;3,2:3;3:2,1
3,81,3;4,3:4;4:3,1
4,81,3;5,3:5;5:3,1
5,81,5;6,5:6;6:5,1
6,81,6;7,6:7;7:6,1
7,81,7;8,7:8;8:7,1
8,81,8;9,8:9;9:8,1
9,81,8;10,8:10;10:8,1
10,81,8;11,8:11;11:8,1
11,81,3,,3
12,81,8,,3
0,82,1;2;3;4;5;18,1:2;1:18;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:18;18:1;18:5,0
1,82,0;1,0:1;1:0,1
2,82,5;6,5:6;6:5,1
3,82,6;7,6:7;7:6,1
4,82,6;8,6:8;8:6,1
5,82,8;9,8:9;9:8,1
6,82,9;10,9:10;10:9,1
7,82,10;11,10:11;11:10,1
8,82,11;12,11:12;12:11,1
9,82,11;13,11:13;13:11,1
10,82,11;14,11:14;14:11,1
11,82,14;15,14:15;15:14,1
12,82,14;16,14:16;16:14,1
13,82,14;17,14:17;17:14,1
14,82,18;19,18:19;19:18,1
15,82,6,,3
16,82,11,,3
17,82,14,,3
0,83,1;2;3;12;23,1:2;1:23;2:1;2:3;3:2;3:12;12:3;12:23;23:1;23:12,0
1,83,4;5;6;10;11,4:5;4:11;5:4;5:6;6:5;6:10;10:6;10:11;11:4;11:10,0
2,83,7;8;9,7:8;7:9;8:7;8:9;9:7;9:8,0
