clique_id,graph_id,atoms,bonds,clique_features
0,220,3;4;5;6;7;8,3:4;3:8;4:3;4:5;5:4;5:6;6:5;6:7;7:6;7:8;8:3;8:7,0
1,220,9;10;11;17;18,9:10;9:18;10:9;10:11;11:10;11:17;17:11;17:18;18:9;18:17,0
2,220,11;12;13;14;15;17,11:12;11:17;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:17;17:11;17:15,0
3,220,0;1,0:1;1:0,1
4,220,1;2,1:2;2:1,1
5,220,1;3,1:3;3:1,1
6,220,8;9,8:9;9:8,1
7,220,15;16,15:16;16:15,1
8,220,1,,3
0,221,5;6;7;8;14,5:6;5:14;6:5;6:7;7:6;7:8;8:7;8:14;14:5;14:8,0
1,221,8;9;11;12;13;14,8:9;8:14;9:8;9:11;11:9;11:12;12:11;12:13;13:12;13:14;14:8;14:13,0
2,221,0;1,0:1;1:0,1
3,221,1;2,1:2;2:1,1
4,221,2;3,2:3;3:2,1
5,221,3;4,3:4;4:3,1
6,221,4;5,4:5;5:4,1
7,221,9;10,9:10;10:9,1
0,222,3;4;6;8;21,3:4;3:21;4:3;4:6;6:4;6:8;8:6;8:21;21:3;21:8,0
1,222,12;13;14;15;16;17,12:13;12:17;13:12;13:14;14:13;14:15;15:14;15:16;16:15;16:17;17:12;17:16,0
2,222,11;12;17;18;19,11:12;11:19;12:11;12:17;17:12;17:18;18:17;18:19;19:11;19:18,0
3,222,22;23;24;25;26;27,22:23;22:27;23:22;23:24;24:23;24:25;25:24;25:26;26:25;26:27;27:22;27:26,0
4,222,0;1,0:1;1:0,1
5,222,1;2,1:2;2:1,1
6,222,1;3,1:3;3:1,1
7,222,4;5,4:5;5:4,1
8,222,6;7,6:7;7:6,1
9,222,8;9,8:9;9:8,1
10,222,9;10,9:10;10:9,1
11,222,10;11,10:11;11:10,1
12,222,19;20,19:20;20:19,1
13,222,21;22,21:22;22:21,1
14,222,27;28,27:28;28:27,1
15,222,1,,3
0,223,1;2;3;4;5;6,1:2;1:6;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:6;6:1;6:5,0
1,223,7;8;9;25;27,7:8;7:27;8:7;8:9;9:8;9:25;25:9;25:27;27:7;27:25,0
2,223,11;12;13;14;15;24,11:12;11:24;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:24;24:11;24:15,0
3,223,15;16;17;18;23;24,15:16;15:24;16:15;16:17;17:16;17:18;18:17;18:23;23:18;23:24;24:15;24:23,0
4,223,0;1,0:1;1:0,1
5,223,6;7,6:7;7:6,1
6,223,9;10,9:10;10:9,1
7,223,10;11,10:11;11:10,1
8,223,18;19,18:19;19:18,1
9,223,19;20,19:20;20:19,1
10,223,19;21,19:21;21:19,1
11,223,19;22,19:22;22:19,1
12,223,25;26,25:26;26:25,1
13,223,19,,3
0,224,5;6;7;12;13,5:6;5:13;6:5;6:7;7:6;7:12;12:7;12:13;13:5;13:12,0
1,224,7;8;9;10;11;12,7:8;7:12;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:12;12:7;12:11,0
2,224,14;15;16;17;18,14:15;14:18;15:14;15:16;16:15;16:17;17:16;17:18;18:14;18:17,0
3,224,0;1,0:1;1:0,1
4,224,1;2,1:2;2:1,1
5,224,2;3,2:3;3:2,1
6,224,2;14,2:14;14:2,1
7,224,3;4,3:4;4:3,1
8,224,3;5,3:5;5:3,1
9,224,18;19,18:19;19:18,1
10,224,19;20,19:20;20:19,1
11,224,2,,3
12,224,3,,3
0,225,1;2;12;13;15,1:2;1:15;2:1;2:12;12:2;12:13;13:12;13:15;15:1;15:13,0
1,225,4;5;6;7;9;10,4:5;4:10;5:4;5:6;6:5;6:7;7:6;7:9;9:7;9:10;10:4;10:9,0
2,225,17;18;19;20;21,17:18;17:21;18:17;18:19;19:18;19:20;20:19;20:21;21:17;21:20,0
3,225,0;1,0:1;1:0,1
4,225,2;3,2:3;3:2,1
5,225,3;4,3:4;4:3,1
6,225,7;8,7:8;8:7,1
7,225,10;11,10:11;11:10,1
8,225,13;14,13:14;14:13,1
9,225,15;16,15:16;16:15,1
10,225,16;17,16:17;17:16,1
0,226,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
1,226,0;1,0:1;1:0,1
2,226,1;2,1:2;2:1,1
3,226,2;3,2:3;3:2,1
