clique_id,graph_id,atoms,bonds,clique_features
0,340,2;3;4;5;6;7,2:3;2:7;3:2;3:4;4:3;4:5;5:4;5:6;6:5;6:7;7:2;7:6,0
1,340,8;9;10;26;27,8:9;8:27;9:8;9:10;10:9;10:26;26:10;26:27;27:8;27:26,0
2,340,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
3,340,19;20;21;22;23;24,19:20;19:24;20:19;20:21;21:20;21:22;22:21;22:23;23:22;23:24;24:19;24:23,0
4,340,16;17;19;24;25,16:17;16:25;17:16;17:19;19:17;19:24;24:19;24:25;25:16;25:24,0
5,340,0;1,0:1;1:0,1
6,340,1;2,1:2;2:1,1
7,340,7;8,7:8;8:7,1
8,340,10;11,10:11;11:10,1
9,340,11;12,11:12;12:11,1
10,340,11;13,11:13;13:11,1
11,340,11,,3
0,341,7;8;9;10;20;21,7:8;7:21;8:7;8:9;9:8;9:10;10:9;10:20;20:10;20:21;21:7;21:20,0
1,341,11;12;13;15;16;17,11:12;11:17;12:11;12:13;13:12;13:15;15:13;15:16;16:15;16:17;17:11;17:16,0
2,341,10;11;17;18;20,10:11;10:20;11:10;11:17;17:11;17:18;18:17;18:20;20:10;20:18,0
3,341,22;23;24;25;26;27,22:23;22:27;23:22;23:24;24:23;24:25;25:24;25:26;26:25;26:27;27:22;27:26,0
4,341,0;1,0:1;1:0,1
5,341,1;2,1:2;2:1,1
6,341,1;22,1:22;22:1,1
7,341,2;3,2:3;3:2,1
8,341,3;4,3:4;4:3,1
9,341,3;5,3:5;5:3,1
10,341,5;6,5:6;6:5,1
11,341,6;7,6:7;7:6,1
12,341,13;14,13:14;14:13,1
13,341,18;19,18:19;19:18,1
14,341,1,,3
15,341,3,,3
0,342,5;6;7;8;9;10,5:6;5:10;6:5;6:7;7:6;7:8;8:7;8:9;9:8;9:10;10:5;10:9,0
1,342,11;12;13;14;15;16,11:12;11:16;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:16;16:11;16:15,0
2,342,0;1,0:1;1:0,1
