clique_id,graph_id,atoms,bonds,clique_features
0,240,1;2;3;4;22;23,1:2;1:23;2:1;2:3;3:2;3:4;4:3;4:22;22:4;22:23;23:1;23:22,0
1,240,5;6;7;8;21,5:6;5:21;6:5;6:7;7:6;7:8;8:7;8:21;21:5;21:8,0
2,240,15;16;17;18;19;20,15:16;15:20;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:20;20:15;20:19,0
3,240,0;1,0:1;1:0,1
4,240,4;5,4:5;5:4,1
5,240,8;9,8:9;9:8,1
6,240,9;10,9:10;10:9,1
7,240,10;11,10:11;11:10,1
8,240,11;12,11:12;12:11,1
9,240,11;13,11:13;13:11,1
10,240,13;14,13:14;14:13,1
11,240,13;15,13:15;15:13,1
12,240,11,,3
13,240,13,,3
0,241,8;9;10;11;12;24,8:9;8:24;9:8;9:10;10:9;10:11;11:10;11:12;12:11;12:24;24:8;24:12,0
1,241,14;15;16;17;18;23,14:15;14:23;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:23;23:14;23:18,0
2,241,0;1,0:1;1:0,1
3,241,1;2,1:2;2:1,1
4,241,1;4,1:4;4:1,1
5,241,2;3,2:3;3:2,1
6,241,4;5,4:5;5:4,1
7,241,5;6,5:6;6:5,1
8,241,6;7,6:7;7:6,1
9,241,6;8,6:8;8:6,1
10,241,12;13,12:13;13:12,1
11,241,13;14,13:14;14:13,1
12,241,18;19,18:19;19:18,1
13,241,19;20,19:20;20:19,1
14,241,19;21,19:21;21:19,1
15,241,19;22,19:22;22:19,1
16,241,1,,3
17,241,6,,3
18,241,19,,3
0,242,5;6;7;8;9;24,5:6;5:24;6:5;6:7;7:6;7:8;8:7;8:9;9:8;9:24;24:5;24:9,0
1,242,13;14;15;16;17;23,13:14;13:23;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:23;23:13;23:17,0
2,242,0;1,0:1;1:0,1
3,242,1;2,1:2;2:1,1
4,242,1;3,1:3;3:1,1
5,242,3;4,3:4;4:3,1
6,242,3;5,3:5;5:3,1
7,242,9;10,9:10;10:9,1
8,242,10;11,10:11;11:10,1
9,242,10;12,10:12;12:10,1
10,242,12;13,12:13;13:12,1
11,242,17;18,17:18;18:17,1
12,242,18;19,18:19;19:18,1
13,242,19;20,19:20;20:19,1
14,242,19;21,19:21;21:19,1
15,242,19;22,19:22;22:19,1
16,242,1,,3
17,242,3,,3
18,242,10,,3
19,242,19,,3
0,243,7;8;9;10;11,7:8;7:11;8:7;8:9;9:8;9:10;10:9;10:11;11:7;11:10,0
1,243,18;19;20;21;22,18:19;18:22;19:18;19:20;20:19;20:21;21:20;21:22;22:18;22:21,0
2,243,0;1,0:1;1:0,1
3,243,1;2,1:2;2:1,1
4,243,1;3,1:3;3:1,1
5,243,3;4,3:4;4:3,1
6,243,3;5,3:5;5:3,1
7,243,5;6,5:6;6:5,1
8,243,5;7,5:7;7:5,1
9,243,11;12,11:12;12:11,1
10,243,12;13,12:13;13:12,1
11,243,12;14,12:14;14:12,1
12,243,14;15,14:15;15:14,1
13,243,15;16,15:16;16:15,1
14,243,16;17,16:17;17:16,1
15,243,17;18,17:18;18:17,1
16,243,1,,3
17,243,3,,3
18,243,5,,3
19,243,12,,3
0,244,2;3;4;5;6,2:3;2:6;3:2;3:4;4:3;4:5;5:4;5:6;6:2;6:5,0
1,244,7;8;9;10;11;20,7:8;7:20;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:20;20:7;20:11,0
2,244,12;13;14;15;18;19,12:13;12:19;13:12;13:14;14:13;14:15;15:14;15:18;18:15;18:19;19:12;19:18,0
3,244,0;1,0:1;1:0,1
4,244,1;2,1:2;2:1,1
5,244,1;7,1:7;7:1,1
6,244,11;12,11:12;12:11,1
7,244,15;16,15:16;16:15,1
8,244,16;17,16:17;17:16,1
9,244,1,,3
0,245,8;9;10;11;12;19,8:9;8:19;9:8;9:10;10:9;10:11;11:10;11:12;12:11;12:19;19:8;19:12,0
