tree_edge_id,graph_id,start_clique,end_clique
0,380,0,1
1,380,0,5
2,380,1,0
3,380,1,6
4,380,2,7
5,380,2,8
6,380,2,9
7,380,3,8
8,380,4,5
9,380,5,0
10,380,5,4
11,380,6,1
12,380,6,7
13,380,7,2
14,380,7,6
15,380,8,2
16,380,8,3
17,380,9,2
0,381,0,3
1,381,0,4
2,381,1,4
3,381,1,5
4,381,1,9
5,381,2,3
6,381,3,0
7,381,3,2
8,381,4,0
9,381,4,1
10,381,5,1
11,381,5,10
12,381,6,10
13,381,7,10
14,381,8,10
15,381,9,1
16,381,10,5
17,381,10,6
18,381,10,7
19,381,10,8
0,382,0,9
1,382,0,10
2,382,0,11
3,382,1,12
4,382,2,12
5,382,3,4
6,382,3,12
7,382,4,3
8,382,4,13
9,382,5,13
10,382,6,13
11,382,6,14
12,382,7,14
13,382,8,9
14,382,8,14
15,382,9,0
16,382,9,8
17,382,10,0
18,382,11,0
19,382,12,1
20,382,12,2
21,382,12,3
22,382,13,4
23,382,13,5
24,382,13,6
25,382,14,6
26,382,14,7
27,382,14,8
0,383,0,5
1,383,0,6
2,383,0,10
3,383,0,11
4,383,1,8
5,383,1,9
6,383,2,3
7,383,2,9
8,383,3,2
9,383,4,5
10,383,5,0
11,383,5,4
12,383,6,0
13,383,6,15
14,383,7,15
15,383,8,1
16,383,8,15
17,383,9,1
18,383,9,2
19,383,10,0
20,383,11,0
21,383,11,12
22,383,12,11
23,383,12,16
24,383,13,16
25,383,14,16
26,383,15,6
27,383,15,7
28,383,15,8
29,383,16,12
30,383,16,13
31,383,16,14
0,384,0,5
1,384,0,6
2,384,1,8
3,384,2,3
4,384,3,2
5,384,3,4
6,384,4,3
7,384,4,5
8,384,5,0
9,384,5,4
10,384,6,0
11,384,6,11
12,384,7,11
13,384,7,12
14,384,8,1
15,384,8,11
16,384,9,12
17,384,10,12
18,384,11,6
19,384,11,7
20,384,11,8
21,384,12,7
22,384,12,9
23,384,12,10
0,385,0,2
1,385,0,9
2,385,0,10
3,385,1,10
4,385,2,0
5,385,3,4
6,385,4,3
7,385,4,5
8,385,5,4
9,385,5,6
10,385,6,5
11,385,6,11
12,385,7,11
13,385,8,9
14,385,8,11
15,385,9,0
16,385,9,8
17,385,10,0
18,385,10,1
19,385,11,6
20,385,11,7
21,385,11,8
0,386,0,1
1,386,0,2
2,386,0,3
3,386,1,0
4,386,2,0
5,386,3,0
6,386,3,4
7,386,4,3
8,386,4,16
9,386,5,16
10,386,6,16
11,386,6,17
12,386,7,17
13,386,8,9
14,386,8,17
15,386,9,8
16,386,9,18
17,386,10,18
18,386,11,12
19,386,11,18
20,386,12,11
21,386,12,19
22,386,13,19
23,386,14,19
24,386,15,19
25,386,16,4
26,386,16,5
27,386,16,6
28,386,17,6
29,386,17,7
30,386,17,8
31,386,18,9
32,386,18,10
33,386,18,11
34,386,19,12
35,386,19,13
36,386,19,14
37,386,19,15
0,387,0,7
1,387,1,9
2,387,1,10
3,387,1,11
4,387,2,12
5,387,3,5
6,387,3,12
7,387,4,8
8,387,4,12
9,387,5,3
10,387,5,6
11,387,6,5
12,387,6,7
13,387,7,0
14,387,7,6
15,387,8,4
16,387,8,9
17,387,9,1
18,387,9,8
19,387,10,1
20,387,11,1
21,387,12,2
22,387,12,3
23,387,12,4
0,388,0,4
1,388,0,5
2,388,1,2
3,388,1,5
4,388,2,1
5,388,2,6
6,388,3,6
7,388,4,0
8,388,5,0
9,388,5,1
10,388,6,2
11,388,6,3
0,389,0,5
1,389,0,6
2,389,1,3
3,389,1,6
4,389,2,12
5,389,2,13
6,389,3,1
7,389,3,7
8,389,4,5
9,389,5,0
10,389,5,4
11,389,6,0
12,389,6,1
13,389,7,3
14,389,7,8
15,389,8,7
16,389,8,9
17,389,9,8
18,389,9,14
19,389,10,14
20,389,11,12
21,389,11,14
22,389,12,2
23,389,12,11
24,389,13,2
25,389,14,9
26,389,14,10
27,389,14,11
0,390,0,3
1,390,0,4
2,390,0,10
3,390,1,2
4,390,1,9
5,390,2,1
6,390,3,0
7,390,4,0
8,390,4,11
9,390,5,11
10,390,6,7
11,390,6,11
12,390,7,6
13,390,7,8
14,390,8,7
15,390,8,9
16,390,9,1
17,390,9,8
18,390,10,0
19,390,11,4
20,390,11,5
21,390,11,6
0,391,0,2
1,391,0,3
2,391,0,4
3,391,1,9
4,391,1,10
5,391,2,0
6,391,3,0
7,391,4,0
8,391,4,5
9,391,5,4
10,391,5,11
11,391,6,11
12,391,7,8
13,391,7,11
14,391,8,7
15,391,8,9
16,391,9,1
17,391,9,8
18,391,10,1
19,391,11,5
20,391,11,6
21,391,11,7
0,392,0,6
1,392,0,7
2,392,1,7
3,392,1,8
4,392,2,3
5,392,3,2
6,392,3,9
7,392,4,9
8,392,5,6
9,392,5,9
10,392,6,0
11,392,6,5
12,392,7,0
13,392,7,1
14,392,8,1
15,392,9,3
16,392,9,4
17,392,9,5
0,393,0,13
1,393,0,14
2,393,0,15
3,393,1,7
4,393,2,16
5,393,3,16
6,393,4,5
7,393,4,16
8,393,5,4
9,393,5,17
10,393,6,8
11,393,6,17
12,393,7,1
13,393,7,17
14,393,8,6
15,393,8,18
16,393,9,18
17,393,10,11
18,393,10,18
19,393,11,10
20,393,11,19
21,393,12,19
22,393,13,0
23,393,13,19
24,393,14,0
25,393,15,0
26,393,16,2
27,393,16,3
28,393,16,4
29,393,17,5
30,393,17,6
31,393,17,7
32,393,18,8
33,393,18,9
34,393,18,10
35,393,19,11
36,393,19,12
37,393,19,13
0,394,0,3
1,394,0,4
2,394,1,4
3,394,1,5
4,394,1,8
5,394,2,7
6,394,3,0
7,394,4,0
8,394,4,1
9,394,5,1
10,394,5,6
11,394,6,5
12,394,6,7
13,394,7,2
14,394,7,6
15,394,8,1
0,395,0,6
1,395,0,7
2,395,1,8
3,395,1,9
4,395,1,10
5,395,1,12
6,395,2,11
7,395,3,4
8,395,4,3
9,395,4,13
10,395,5,13
11,395,6,0
12,395,6,13
13,395,7,0
14,395,7,8
15,395,8,1
16,395,8,7
17,395,9,1
18,395,10,1
19,395,10,11
20,395,11,2
21,395,11,10
22,395,12,1
23,395,13,4
24,395,13,5
25,395,13,6
0,396,0,4
1,396,0,5
2,396,1,5
3,396,1,6
4,396,2,12
5,396,3,4
6,396,4,0
7,396,4,3
8,396,5,0
9,396,5,1
10,396,6,1
11,396,6,7
12,396,7,6
13,396,7,8
14,396,8,7
15,396,8,9
16,396,9,8
17,396,9,13
18,396,10,13
19,396,11,12
20,396,11,13
21,396,12,2
22,396,12,11
23,396,13,9
24,396,13,10
25,396,13,11
0,397,0,5
1,397,1,7
2,397,1,8
3,397,2,9
4,397,3,5
5,397,3,9
6,397,4,9
7,397,4,10
8,397,5,0
9,397,5,3
10,397,6,10
11,397,7,1
12,397,7,10
13,397,8,1
14,397,9,2
15,397,9,3
16,397,9,4
17,397,10,4
18,397,10,6
19,397,10,7
0,398,0,4
1,398,0,5
2,398,1,5
3,398,1,6
4,398,2,11
5,398,2,12
6,398,2,14
7,398,3,4
8,398,4,0
9,398,4,3
10,398,5,0
11,398,5,1
12,398,6,1
13,398,6,7
14,398,7,6
15,398,7,16
16,398,8,16
17,398,9,16
18,398,9,17
19,398,10,17
20,398,11,2
21,398,11,17
22,398,12,2
23,398,12,13
24,398,13,12
25,398,14,2
26,398,14,15
27,398,15,14
28,398,16,7
29,398,16,8
30,398,16,9
31,398,17,9
32,398,17,10
33,398,17,11
0,399,0,3
1,399,0,4
2,399,1,12
3,399,2,6
4,399,3,0
5,399,4,0
6,399,4,15
7,399,5,7
8,399,5,15
9,399,6,2
10,399,6,15
11,399,7,5
12,399,7,16
13,399,8,16
14,399,9,10
15,399,9,16
16,399,10,9
17,399,10,17
18,399,11,13
19,399,11,17
20,399,12,1
21,399,12,17
22,399,13,11
23,399,13,14
24,399,14,13
25,399,15,4
26,399,15,5
27,399,15,6
28,399,16,7
29,399,16,8
30,399,16,9
31,399,17,10
32,399,17,11
33,399,17,12
