clique_id,graph_id,atoms,bonds,clique_features
0,260,3;4;5;6;20,3:4;3:20;4:3;4:5;5:4;5:6;6:5;6:20;20:3;20:6,0
1,260,11;12;13;14;18;19,11:12;11:19;12:11;12:13;13:12;13:14;14:13;14:18;18:14;18:19;19:11;19:18,0
2,260,14;15;16;17;18,14:15;14:18;15:14;15:16;16:15;16:17;17:16;17:18;18:14;18:17,0
3,260,0;1,0:1;1:0,1
4,260,1;2,1:2;2:1,1
5,260,1;3,1:3;3:1,1
6,260,6;7,6:7;7:6,1
7,260,7;8,7:8;8:7,1
8,260,8;9,8:9;9:8,1
9,260,8;10,8:10;10:8,1
10,260,8;11,8:11;11:8,1
11,260,1,,3
12,260,8,,3
0,261,2;3;5;16;17;22,2:3;2:22;3:2;3:5;5:3;5:16;16:5;16:17;17:16;17:22;22:2;22:17,0
1,261,11;12;13;14;15,11:12;11:15;12:11;12:13;13:12;13:14;14:13;14:15;15:11;15:14,0
2,261,17;18;19;20;21;22,17:18;17:22;18:17;18:19;19:18;19:20;20:19;20:21;21:20;21:22;22:17;22:21,0
3,261,0;1,0:1;1:0,1
4,261,1;2,1:2;2:1,1
5,261,3;4,3:4;4:3,1
6,261,5;6,5:6;6:5,1
7,261,5;7,5:7;7:5,1
8,261,7;8,7:8;8:7,1
9,261,7;9,7:9;9:7,1
10,261,9;10,9:10;10:9,1
11,261,10;11,10:11;11:10,1
12,261,5,,3
13,261,7,,3
0,262,1;2;3;20;21;22,1:2;1:22;2:1;2:3;3:2;3:20;20:3;20:21;21:20;21:22;22:1;22:21,0
1,262,9;10;11;12;16;17,9:10;9:17;10:9;10:11;11:10;11:12;12:11;12:16;16:12;16:17;17:9;17:16,0
2,262,3;4;18;19;20,3:4;3:20;4:3;4:18;18:4;18:19;19:18;19:20;20:3;20:19,0
3,262,0;1,0:1;1:0,1
4,262,4;5,4:5;5:4,1
5,262,5;6,5:6;6:5,1
6,262,5;7,5:7;7:5,1
7,262,7;8,7:8;8:7,1
8,262,7;9,7:9;9:7,1
9,262,12;13,12:13;13:12,1
10,262,13;14,13:14;14:13,1
11,262,13;15,13:15;15:13,1
12,262,5,,3
13,262,7,,3
14,262,13,,3
0,263,3;4;5;6;7;8,3:4;3:8;4:3;4:5;5:4;5:6;6:5;6:7;7:6;7:8;8:3;8:7,0
1,263,9;10;11;12;13;24,9:10;9:24;10:9;10:11;11:10;11:12;12:11;12:13;13:12;13:24;24:9;24:13,0
2,263,0;1,0:1;1:0,1
3,263,1;2,1:2;2:1,1
4,263,2;3,2:3;3:2,1
5,263,8;9,8:9;9:8,1
6,263,13;14,13:14;14:13,1
7,263,14;15,14:15;15:14,1
8,263,14;16,14:16;16:14,1
9,263,16;17,16:17;17:16,1
10,263,16;18,16:18;18:16,1
11,263,18;19,18:19;19:18,1
12,263,19;20,19:20;20:19,1
13,263,20;21,20:21;21:20,1
14,263,20;22,20:22;22:20,1
15,263,20;23,20:23;23:20,1
16,263,14,,3
17,263,16,,3
18,263,20,,3
0,264,1;2;3;4;5;25,1:2;1:25;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:25;25:1;25:5,0
1,264,13;14;16;21;22,13:14;13:22;14:13;14:16;16:14;16:21;21:16;21:22;22:13;22:21,0
2,264,16;17;18;19;20;21,16:17;16:21;17:16;17:18;18:17;18:19;19:18;19:20;20:19;20:21;21:16;21:20,0
3,264,0;1,0:1;1:0,1
4,264,5;6,5:6;6:5,1
5,264,6;7,6:7;7:6,1
6,264,7;8,7:8;8:7,1
7,264,7;9,7:9;9:7,1
8,264,9;10,9:10;10:9,1
9,264,10;11,10:11;11:10,1
10,264,10;12,10:12;12:10,1
11,264,12;13,12:13;13:12,1
12,264,14;15,14:15;15:14,1
13,264,22;23,22:23;23:22,1
14,264,22;24,22:24;24:22,1
15,264,25;26,25:26;26:25,1
16,264,7,,3
17,264,10,,3
18,264,22,,3
0,265,4;5;6;7;8,4:5;4:8;5:4;5:6;6:5;6:7;7:6;7:8;8:4;8:7,0
1,265,13;15;16;21;22,13:15;13:22;15:13;15:16;16:15;16:21;21:16;21:22;22:13;22:21,0
2,265,16;17;18;19;20;21,16:17;16:21;17:16;17:18;18:17;18:19;19:18;19:20;20:19;20:21;21:16;21:20,0
3,265,0;1,0:1;1:0,1
4,265,1;2,1:2;2:1,1
5,265,1;3,1:3;3:1,1
6,265,3;4,3:4;4:3,1
7,265,8;9,8:9;9:8,1
8,265,9;10,9:10;10:9,1
9,265,9;11,9:11;11:9,1
10,265,11;12,11:12;12:11,1
11,265,12;13,12:13;13:12,1
12,265,13;14,13:14;14:13,1
13,265,1,,3
14,265,9,,3
15,265,13,,3
0,266,2;3;4;5;7;8,2:3;2:8;3:2;3:4;4:3;4:5;5:4;5:7;7:5;7:8;8:2;8:7,0
1,266,9;10;11;12;13;20,9:10;9:20;10:9;10:11;11:10;11:12;12:11;12:13;13:12;13:20;20:9;20:13,0
2,266,15;16;17;18;19,15:16;15:19;16:15;16:17;17:16;17:18;18:17;18:19;19:15;19:18,0
3,266,0;1,0:1;1:0,1
4,266,1;2,1:2;2:1,1
5,266,1;9,1:9;9:1,1
6,266,5;6,5:6;6:5,1
7,266,13;14,13:14;14:13,1
8,266,14;15,14:15;15:14,1
9,266,1,,3
0,267,1;2;3;4;19;20,1:2;1:20;2:1;2:3;3:2;3:4;4:3;4:19;19:4;19:20;20:1;20:19,0
1,267,14;15;16;17;18,14:15;14:18;15:14;15:16;16:15;16:17;17:16;17:18;18:14;18:17,0
2,267,0;1,0:1;1:0,1
3,267,4;5,4:5;5:4,1
4,267,5;6,5:6;6:5,1
5,267,6;7,6:7;7:6,1
6,267,7;8,7:8;8:7,1
7,267,7;9,7:9;9:7,1
8,267,9;10,9:10;10:9,1
9,267,10;11,10:11;11:10,1
10,267,10;12,10:12;12:10,1
11,267,12;13,12:13;13:12,1
12,267,13;14,13:14;14:13,1
13,267,7,,3
14,267,10,,3
0,268,1;2;3;4;22;23,1:2;1:23;2:1;2:3;3:2;3:4;4:3;4:22;22:4;22:23;23:1;23:22,0
1,268,8;9;10;11;20;21,8:9;8:21;9:8;9:10;10:9;10:11;11:10;11:20;20:11;20:21;21:8;21:20,0
