atom_id,graph_id,atom_features
0,300,0
1,300,0
2,300,0
3,300,0
4,300,2
5,300,0
6,300,0
7,300,0
8,300,0
9,300,4
10,300,0
11,300,10
12,300,0
13,300,0
14,300,3
15,300,0
16,300,0
0,301,0
1,301,0
2,301,2
3,301,2
4,301,0
5,301,0
6,301,0
7,301,0
8,301,0
9,301,2
10,301,0
11,301,0
12,301,0
13,301,2
14,301,0
15,301,0
16,301,2
17,301,0
18,301,1
19,301,0
20,301,2
21,301,0
22,301,0
23,301,0
24,301,0
25,301,0
26,301,0
27,301,0
28,301,0
29,301,0
30,301,0
0,302,0
1,302,1
2,302,0
3,302,0
4,302,0
5,302,0
6,302,0
7,302,2
8,302,0
9,302,1
10,302,4
11,302,0
12,302,0
13,302,0
14,302,2
15,302,5
16,302,1
17,302,1
18,302,0
19,302,0
20,302,0
21,302,0
22,302,2
23,302,0
24,302,0
25,302,1
26,302,0
27,302,0
28,302,0
29,302,0
0,303,0
1,303,0
2,303,0
3,303,0
4,303,1
5,303,2
6,303,0
7,303,0
8,303,0
9,303,0
10,303,0
11,303,0
12,303,1
13,303,2
14,303,0
15,303,0
16,303,0
17,303,0
18,303,6
19,303,0
20,303,0
21,303,0
0,304,1
1,304,0
2,304,2
3,304,2
4,304,0
5,304,1
6,304,4
7,304,0
8,304,0
9,304,0
10,304,0
11,304,0
12,304,0
13,304,0
14,304,1
15,304,4
16,304,0
17,304,1
18,304,0
19,304,0
20,304,0
21,304,0
22,304,3
23,304,0
24,304,0
25,304,0
0,305,0
1,305,2
2,305,0
3,305,0
4,305,0
5,305,0
6,305,0
7,305,6
8,305,2
9,305,0
10,305,0
11,305,1
12,305,2
13,305,0
14,305,0
15,305,0
16,305,0
17,305,0
18,305,0
19,305,0
20,305,0
21,305,0
22,305,0
0,306,0
1,306,2
2,306,0
3,306,2
4,306,0
5,306,2
6,306,0
7,306,0
8,306,2
9,306,4
10,306,0
11,306,0
12,306,5
13,306,0
0,307,0
1,307,1
2,307,4
3,307,0
4,307,0
5,307,2
6,307,1
7,307,0
8,307,4
9,307,0
10,307,0
11,307,0
12,307,4
13,307,0
14,307,10
15,307,2
0,308,1
1,308,0
2,308,0
3,308,0
4,308,0
5,308,0
6,308,0
7,308,0
8,308,3
9,308,0
10,308,2
11,308,0
12,308,0
13,308,1
14,308,2
15,308,0
16,308,0
17,308,0
18,308,0
19,308,0
20,308,4
21,308,0
22,308,0
23,308,0
24,308,2
25,308,0
26,308,0
0,309,0
1,309,0
2,309,0
3,309,0
4,309,2
5,309,0
6,309,1
7,309,2
8,309,0
9,309,0
10,309,0
11,309,0
12,309,0
13,309,5
14,309,1
15,309,1
16,309,2
17,309,0
18,309,0
19,309,0
20,309,0
21,309,0
22,309,0
23,309,0
0,310,0
1,310,2
2,310,0
3,310,2
4,310,0
5,310,2
6,310,0
7,310,0
8,310,2
9,310,4
10,310,0
11,310,0
12,310,0
13,310,0
14,310,5
15,310,0
16,310,0
17,310,0
18,310,0
19,310,0
20,310,0
21,310,1
0,311,0
1,311,1
2,311,0
3,311,0
4,311,4
5,311,0
6,311,0
7,311,1
8,311,2
9,311,4
10,311,0
11,311,0
12,311,1
13,311,0
0,312,0
1,312,0
2,312,1
3,312,2
4,312,4
5,312,0
6,312,0
7,312,2
8,312,0
9,312,0
10,312,0
11,312,0
12,312,0
13,312,0
14,312,2
15,312,0
16,312,0
17,312,1
18,312,0
19,312,0
20,312,0
21,312,0
22,312,0
23,312,0
24,312,0
25,312,0
0,313,0
1,313,2
2,313,0
3,313,0
4,313,0
5,313,2
6,313,0
7,313,1
8,313,2
9,313,0
10,313,4
11,313,1
12,313,0
13,313,0
14,313,0
15,313,0
16,313,1
17,313,0
18,313,3
19,313,3
20,313,3
21,313,0
22,313,0
23,313,0
24,313,1
0,314,0
1,314,1
2,314,0
3,314,0
4,314,0
5,314,0
6,314,5
7,314,1
8,314,1
9,314,1
10,314,0
11,314,0
12,314,0
13,314,0
14,314,0
15,314,0
16,314,1
17,314,0
18,314,0
19,314,1
20,314,0
21,314,0
22,314,0
0,315,0
1,315,0
2,315,0
3,315,4
4,315,0
5,315,4
6,315,0
7,315,1
8,315,2
9,315,4
10,315,0
11,315,0
12,315,0
13,315,0
14,315,0
15,315,0
16,315,0
17,315,0
18,315,1
19,315,7
20,315,0
21,315,1
22,315,4
23,315,0
0,316,0
1,316,0
2,316,2
3,316,0
4,316,1
5,316,2
6,316,0
7,316,0
8,316,4
9,316,2
10,316,0
11,316,1
12,316,2
13,316,4
14,316,0
15,316,0
16,316,0
17,316,0
18,316,4
19,316,1
20,316,0
21,316,0
22,316,0
23,316,0
24,316,0
25,316,0
0,317,0
1,317,2
2,317,0
3,317,0
4,317,0
5,317,0
6,317,0
7,317,0
8,317,5
9,317,0
10,317,1
11,317,4
12,317,0
13,317,4
14,317,0
15,317,0
16,317,0
17,317,0
18,317,0
19,317,0
20,317,0
21,317,3
22,317,3
23,317,3
0,318,0
1,318,1
2,318,0
3,318,0
4,318,0
5,318,3
6,318,0
7,318,4
8,318,10
9,318,0
10,318,0
11,318,0
12,318,0
13,318,0
14,318,0
15,318,0
16,318,0
17,318,0
18,318,0
19,318,3
20,318,0
0,319,0
1,319,4
2,319,1
3,319,0
4,319,0
5,319,0
6,319,0
7,319,9
8,319,0
9,319,0
10,319,0
11,319,1
12,319,2
13,319,0
14,319,0
15,319,0
16,319,0
17,319,2
18,319,0
19,319,0
20,319,0
21,319,0
22,319,0
23,319,0
