clique_id,graph_id,atoms,bonds,clique_features
0,140,2;3;4;5;7;8,2:3;2:8;3:2;3:4;4:3;4:5;5:4;5:7;7:5;7:8;8:2;8:7,0
1,140,15;16;17;18;19;20,15:16;15:20;16:15;16:17;17:16;17:18;18:17;18:19;19:18;19:20;20:15;20:19,0
2,140,0;1,0:1;1:0,1
3,140,1;2,1:2;2:1,1
4,140,5;6,5:6;6:5,1
5,140,8;9,8:9;9:8,1
6,140,9;10,9:10;10:9,1
7,140,10;11,10:11;11:10,1
8,140,10;12,10:12;12:10,1
9,140,12;13,12:13;13:12,1
10,140,12;14,12:14;14:12,1
11,140,14;15,14:15;15:14,1
12,140,10,,3
13,140,12,,3
0,141,3;4;5;6;8;9,3:4;3:9;4:3;4:5;5:4;5:6;6:5;6:8;8:6;8:9;9:3;9:8,0
1,141,12;13;14;19;20,12:13;12:20;13:12;13:14;14:13;14:19;19:14;19:20;20:12;20:19,0
2,141,0;1,0:1;1:0,1
3,141,1;2,1:2;2:1,1
4,141,1;3,1:3;3:1,1
5,141,6;7,6:7;7:6,1
6,141,9;10,9:10;10:9,1
7,141,10;11,10:11;11:10,1
8,141,11;12,11:12;12:11,1
9,141,14;15,14:15;15:14,1
10,141,15;16,15:16;16:15,1
11,141,15;17,15:17;17:15,1
12,141,15;18,15:18;18:15,1
13,141,1,,3
14,141,15,,3
0,142,4;5;6;11,4:5;4:11;5:4;5:6;6:5;6:11;11:4;11:6,0
1,142,6;7;8;9;10;11,6:7;6:11;7:6;7:8;8:7;8:9;9:8;9:10;10:9;10:11;11:6;11:10,0
2,142,12;13;14,12:13;12:14;13:12;13:14;14:12;14:13,0
3,142,0;1,0:1;1:0,1
4,142,1;2,1:2;2:1,1
5,142,1;12,1:12;12:1,1
6,142,2;3,2:3;3:2,1
7,142,3;4,3:4;4:3,1
8,142,1,,3
0,143,3;4;5;25;26;27,3:4;3:27;4:3;4:5;5:4;5:25;25:5;25:26;26:25;26:27;27:3;27:26,0
1,143,7;8;10;21;22;23,7:8;7:23;8:7;8:10;10:8;10:21;21:10;21:22;22:21;22:23;23:7;23:22,0
2,143,10;11;12;20;21,10:11;10:21;11:10;11:12;12:11;12:20;20:12;20:21;21:10;21:20,0
3,143,13;14;15;16;17;19,13:14;13:19;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:19;19:13;19:17,0
4,143,0;1,0:1;1:0,1
5,143,1;2,1:2;2:1,1
6,143,2;3,2:3;3:2,1
