clique_id,graph_id,atoms,bonds,clique_features
0,60,5;6;7;8;17;18,5:6;5:18;6:5;6:7;7:6;7:8;8:7;8:17;17:8;17:18;18:5;18:17,0
1,60,0;1,0:1;1:0,1
2,60,1;2,1:2;2:1,1
3,60,2;3,2:3;3:2,1
4,60,3;4,3:4;4:3,1
5,60,3;5,3:5;5:3,1
6,60,8;9,8:9;9:8,1
7,60,9;10,9:10;10:9,1
8,60,10;11,10:11;11:10,1
9,60,10;12,10:12;12:10,1
10,60,12;13,12:13;13:12,1
11,60,12;14,12:14;14:12,1
12,60,12;15,12:15;15:12,1
13,60,15;16,15:16;16:15,1
14,60,3,,3
15,60,10,,3
16,60,12,,3
0,61,7;9;11;12;13;14,7:9;7:14;9:7;9:11;11:9;11:12;12:11;12:13;13:12;13:14;14:7;14:13,0
1,61,0;1,0:1;1:0,1
2,61,1;2,1:2;2:1,1
3,61,2;3,2:3;3:2,1
4,61,2;4,2:4;4:2,1
5,61,4;5,4:5;5:4,1
6,61,4;16,4:16;16:4,1
7,61,5;6,5:6;6:5,1
8,61,6;7,6:7;7:6,1
9,61,7;8,7:8;8:7,1
10,61,9;10,9:10;10:9,1
11,61,14;15,14:15;15:14,1
12,61,16;17,16:17;17:16,1
13,61,16;18,16:18;18:16,1
14,61,18;19,18:19;19:18,1
15,61,2,,3
16,61,4,,3
17,61,7,,3
18,61,16,,3
0,62,11;12;13;14;15;16;17,11:12;11:16;12:11;12:13;13:12;13:14;13:17;14:13;14:15;15:14;15:16;16:11;16:15;16:17;17:13;17:16,2
1,62,2;3;4;5;19;20,2:3;2:20;3:2;3:4;4:3;4:5;5:4;5:19;19:5;19:20;20:2;20:19,0
2,62,5;6;7;8;18;19,5:6;5:19;6:5;6:7;7:6;7:8;8:7;8:18;18:8;18:19;19:5;19:18,0
3,62,0;1,0:1;1:0,1
4,62,1;2,1:2;2:1,1
5,62,8;9,8:9;9:8,1
6,62,9;10,9:10;10:9,1
7,62,9;11,9:11;11:9,1
8,62,9,,3
